minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
195,-0.042387918,335.16403,297.51617,-0.042387918,335.1797,0.0,0.0,294.69382,336.3225,-8.515169e-05,334.82126,334.87744,-4.5452897e-19,4.921731e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,11700.0,-13878.58500436474,-6702.42,-6705.207,0.0,0.0,0.0,-13407.627,0.0,0.0,0.43380737
210,-0.042387918,335.21738,297.51617,-0.042387918,335.22797,0.0,0.0,294.67416,336.3225,-8.515169e-05,334.82693,334.88184,-4.17528e-29,4.5210772e-29,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,12600.0,-13878.58500436474,-6711.917,-6713.8022,0.0,0.0,0.0,-13425.719,0.0,0.0,0.41415405
225,-0.042387918,335.26123,297.51617,-0.042387918,335.26837,0.0,0.0,294.65005,336.3225,-8.515169e-05,334.8328,334.8864,1.8042316e-29,-1.9536582e-29,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,13500.0,-13878.58500436474,-6719.724,-6720.9956,0.0,0.0,0.0,-13440.72,0.0,0.0,0.39004517
240,-0.042387918,335.2985,297.51617,-0.042387918,335.3033,0.0,0.0,294.63043,336.3225,-8.515169e-05,334.83887,334.89117,-2.1598537e-30,2.338733e-30,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,14400.0,-13878.58500436474,-6726.358,-6727.2163,0.0,0.0,0.0,-13453.574,0.0,0.0,0.37042236
255,-0.042387918,335.3314,297.51617,-0.042387918,335.33466,0.0,0.0,294.6016,336.3225,-8.515169e-05,334.84512,334.89612,6.527602e-18,-5.2410606e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,15300.0,-13878.58500436474,-6732.2144,-6732.796,0.0,0.0,0.0,-13465.01,0.0,0.0,0.34158325
270,-0.042387918,335.36115,297.51617,-0.042387918,335.36334,0.0,0.0,294.57907,336.3225,-8.515169e-05,334.8516,334.9012,-6.6648403e-18,-5.728471e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,16200.0,-13878.58500436474,-6737.5117,-6737.903,0.0,0.0,0.0,-13475.414,0.0,0.0,0.31906128
285,-0.042387918,335.38843,297.51617,-0.042387918,335.38992,0.0,0.0,294.54855,336.3225,-8.515169e-05,334.85822,334.90652,-4.3873523e-18,6.0723374e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,17100.0,-13878.58500436474,-6742.369,-6742.6353,0.0,0.0,0.0,-13485.004,0.0,0.0,0.2885437
300,-0.042387918,335.41345,297.51617,-0.042387918,335.41446,0.0,0.0,294.51962,336.3225,-8.515169e-05,334.86502,334.91196,-3.3091383e-18,-1.9186384e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,18000.0,-13878.58500436474,-6746.824,-6747.0034,0.0,0.0,0.0,-13493.828,0.0,0.0,0.25961304
315,-0.042387918,335.43616,297.51617,-0.042387918,335.43683,0.0,0.0,294.48553,336.3225,-8.515169e-05,334.87192,334.9175,-2.2001775e-17,1.73861e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,18900.0,-13878.58500436474,-6750.866,-6750.986,0.0,0.0,0.0,-13501.852,0.0,0.0,0.2255249
330,-0.042387918,335.45602,297.51617,-0.042387918,335.45648,0.0,0.0,294.45178,336.3225,-8.515169e-05,334.8789,334.92316,-3.9778785e-17,2.1612732e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,19800.0,-13878.58500436474,-6754.403,-6754.4844,0.0,0.0,0.0,-13508.887,0.0,0.0,0.19177246
345,-0.042387918,335.47232,297.51617,-0.042387918,335.47266,0.0,0.0,294.42734,336.3225,-8.515169e-05,334.88593,334.92883,2.7185165e-18,2.0257688e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,20700.0,-13878.58500436474,-6757.304,-6757.3643,0.0,0.0,0.0,-13514.668,0.0,0.0,0.16732788
360,-0.042387918,335.4844,297.51617,-0.042387918,335.48462,0.0,0.0,294.3967,336.3225,-8.515169e-05,334.8929,334.93448,-5.4179127e-18,4.3148847e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,21600.0,-13878.58500436474,-6759.4556,-6759.4937,0.0,0.0,0.0,-13518.949,0.0,0.0,0.13668823
375,-0.042387918,335.4911,297.51636,-0.042387918,335.49124,0.0,0.0,294.37405,336.32184,-8.5151696e-05,334.89975,334.94003,-2.3167602e-18,-2.6219605e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,22500.0,-13878.280592120262,-6760.613,-6760.64,0.0,0.0,0.0,-13521.253,0.0,0.0,0.11404419
390,-0.042387918,335.49142,297.52274,-0.042387918,335.49152,0.0,0.0,294.3461,336.29886,-8.5151696e-05,334.90637,334.9454,-3.9344424e-18,-6.0099705e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,23400.0,-13867.781113575005,-6759.537,-6759.5537,0.0,0.0,0.0,-13519.091,0.0,0.0,0.08609009
405,-0.04238792,335.48352,297.59763,-0.04238792,335.48358,0.0,0.0,294.31934,336.03867,-8.51517e-05,334.91266,334.9505,6.0768948e-18,-3.5439323e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.30319,0.0,24300.0,-13747.944165190695,-6744.798,-6744.809,0.0,0.0,0.0,-13489.607,0.0,0.0,0.059326172
420,-0.04238793,335.4667,298.0302,-0.04238793,335.46674,0.0,0.0,294.28864,334.6247,-8.515172e-05,334.91846,334.95517,-7.034632e-18,1.3253056e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.3032,0.0,25200.0,-13087.548790442228,-6664.7925,-6664.798,0.0,0.0,0.0,-13329.59,0.0,0.0,0.028625488
435,-0.04238794,335.43924,299.12073,-0.04238794,335.43927,0.0,0.0,294.26328,330.98935,-8.515174e-05,334.92365,334.95935,-6.395506e-18,-9.519008e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303215,0.0,26100.0,-11397.408088496253,-6465.7607,-6465.766,0.0,0.0,0.0,-12931.527,0.0,0.0,0.0032653809
450,-0.042387955,335.3995,300.59448,-0.042387955,335.39954,0.0,0.0,294.22827,325.57474,-8.515177e-05,334.92807,334.96283,-1.755777e-17,-2.3120833e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303246,0.0,27000.0,-8933.874225878657,-6196.3174,-6196.3228,0.0,0.0,0.0,-12392.641,0.0,0.0,-0.03173828
465,-0.042387977,335.3459,302.31415,-0.042387977,335.3459,0.0,0.0,294.19598,318.4025,-8.515181e-05,334.9315,334.96545,8.81355e-18,1.6679622e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.303276,0.0,27900.0,-5753.798508639463,-5880.624,-5880.624,0.0,0.0,0.0,-11761.248,0.0,0.0,-0.06402588
480,-0.042388,335.2775,303.81976,-0.042388,335.2775,0.0,0.0,294.16803,310.98434,-8.5151856e-05,334.93375,334.96713,-4.2885714e-19,-2.8877506e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303314,0.0,28800.0,-2562.3250647529794,-5600.4077,-5600.4077,0.0,0.0,0.0,-11200.815,0.0,0.0,-0.09197998
495,-0.042388033,335.19284,304.83035,-0.042388033,335.19284,0.0,0.0,294.13373,304.29993,-8.515192e-05,334.93472,334.96762,4.2019234e-19,1.4547033e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.30336,0.0,29700.0,189.7005405289587,-5405.426,-5405.426,0.0,0.0,0.0,-10810.852,0.0,0.0,-0.12628174
510,-0.042388063,335.08984,305.16632,-0.042388063,335.08984,0.0,0.0,294.10608,299.43976,-8.515199e-05,334.93405,334.96674,-4.0448336e-19,-7.666194e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30341,0.0,30600.0,2048.038340944913,-5327.281,-5327.281,0.0,0.0,0.0,-10654.562,0.0,0.0,-0.15393066
525,-0.0423881,334.9679,304.9461,-0.0423881,334.9679,0.0,0.0,294.07492,296.49268,-8.515206e-05,334.93164,334.9643,-1.3150807e-17,-1.6908837e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.30347,0.0,31500.0,3023.2733696431424,-5344.78,-5344.78,0.0,0.0,0.0,-10689.56,0.0,0.0,-0.18508911
