minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.12588125,293.15,293.15,-0.12588125,293.15,0,0,293.15,293.15,-0.000252879,293.15,293.15,0,0,0,0,0,0,343.15,343.15,-0.006154669,0,0,0,0,0,0,0,0,0,0,0,-1.1100159
15,-0.04238848,293.15,293.14996,-0.04238848,293.15,-1.00E-45,-1.00E-45,293.11307,293.14853,-8.52E-05,293.15,293.15,1.06E-21,7.28E-20,0,0,0,0,343.15,343.15,-66.30407,1,900,0.512975124,-0.005433094,-0.005433094,0,0,-3.00E-45,-0.010866188,0,-3.00E-45,-1.1469421
30,12.801031,319.9329,293.29184,12.8008795,293.68475,7.52519,7.2190423,293.08456,315.37485,0.025715418,320.30368,293.72174,0.99910885,0.66934454,1,0,3246544,0,343.15,343.15,-4566.2734,1,1800,2385069.877,1432338.4,21124.498,3246544,0,14.744232,1453462.9,3246544,3246558.8,-1.1754456
45,12.106882,301.82837,297.04523,12.681377,336.91202,6.7420526,6.462751,293.16803,320.0137,0.024898158,301.70343,337.02933,0.013985969,1,0,1,0,700785.6,343.15,343.15,-4219.272,1,2700,2401865.495,243217.55,2123376.5,0,700785.6,13.204803,2366594,700785.6,700798.8,-1.09198
60,11.965,326.8718,300.66846,11.965,346.22324,6.464299,6.2004914,293.3312,330.91187,0.024036095,327.29474,346.28952,0.9996795,1,1,1,3246544,700785.6,343.15,343.15,-4211.871,1,3600,3053120.36,1316796.4,2289264.2,3246544,700785.6,12.664791,3606060.5,3947329.5,3947342.2,-0.9288025
75,10.741477,345.51587,302.45825,10.741477,339.31226,5.7065086,5.4817986,293.59317,344.92844,0.0215782,345.5612,339.08984,0.9996808,1,0.93367153,0.51869506,3031205.5,363494.03,343.15,343.15,-4202.069,1,4500,3849006.581,1942510.1,1662639,3031205.5,363494.03,11.188307,3605149,3394699.5,3394710.8,-0.6668396
90,8.688198,345.20364,303.83832,8.688198,345.85828,4.482734,4.3129563,293.9164,344.74307,0.017453436,345.19577,345.92096,0.9996808,1,0.682445,0.66708535,2215587.8,467483.84,343.15,343.15,-4179.1826,1,5400,2998499.739,1509438.6,1533326.5,2215587.8,467483.84,8.795691,3042765,2683071.5,2683080.2,-0.3435974
105,7.243037,344.26834,302.7542,7.243037,343.91196,3.6558213,3.5195456,294.21494,344.3156,0.014550299,344.30478,343.92422,0.9996808,1,0.53093904,0.46251085,1723716.9,324120.94,343.14996,343.14996,-4156.171,1,6300,2539869.497,1262891.2,1252049.8,1723716.9,324120.94,7.175367,2514941,2047837.8,2047844.9,-0.045074463
120,7.1906075,344.36557,300.79794,7.1906075,344.319,3.6186972,3.483725,294.4387,344.2753,0.014444975,344.37048,344.32837,0.9996808,1,0.40349078,0.36012405,1309950.5,252369.77,343.14993,343.14993,-4145.963,1,7200,2637723.177,1315766.4,1314359.9,1309950.5,252369.77,7.102422,2630126.2,1562320.2,1562327.4,0.17868042
135,7.1905713,344.6452,298.9156,7.1905713,344.5415,3.6186182,3.483648,294.5946,344.59595,0.014444903,344.64404,344.53848,0.9996808,1,0.25830436,0.22062282,838596.44,154609.3,343.1499,343.1499,-4145.891,1,8100,2771362.995,1381052.6,1377920.9,838596.44,154609.3,7.1022663,2758973.5,993205.75,993212.9,0.33459473
150,0.84236103,341.27484,297.4725,0.84236103,341.50702,0.047340784,0.04725138,294.68204,344.01843,0.001692191,341.10013,341.34937,0.9436386,0.94395787,0,0,0,0,343.14987,343.14987,-104.57988,0,9000,330811.3968,154969,155790.42,0,0,0.09459217,310759.44,0,0.09459217,0.4220276
165,-0.04239234,341.5653,297.52158,-0.04239236,341.7207,3.20E-28,3.20E-28,294.7119,343.97864,-8.52E-05,341.10916,341.3546,1.58E-08,1.59E-08,0,0,0,0,343.15,343.15,-66.310165,0,9900,-16616.50622,-7841.8906,-7869.5615,0,0,6.40E-28,-15711.452,0,6.40E-28,0.4519043
180,-0.042387918,341.7732,297.52158,-0.042387918,341.87814,-1.02E-42,-1.02E-42,294.7084,343.97864,-8.52E-05,341.1214,341.36288,4.02E-18,4.02E-18,0,0,0,0,343.15,343.15,-66.303185,0,10800,-16614.76994,-7878.0825,-7896.7666,0,0,-2.03E-42,-15774.85,0,-2.03E-42,0.44839478
195,-0.042387918,341.92932,297.52158,-0.042387918,342.00018,0,0,294.6928,343.97864,-8.52E-05,341.13403,341.37155,2.14E-18,7.47E-19,0,0,0,0,343.15,343.15,-66.303185,0,11700,-16614.76853,-7905.8774,-7918.493,0,0,0,-15824.371,0,0,0.4328003
210,-0.042387918,342.04993,297.52158,-0.042387918,342.09793,0,0,294.67215,343.97864,-8.52E-05,341.1471,341.38058,6.18E-18,-4.08E-18,0,0,0,0,343.15,343.15,-66.303185,0,12600,-16614.76853,-7927.349,-7935.895,0,0,0,-15863.244,0,0,0.4121399
225,-0.042387918,342.1471,297.52158,-0.042387918,342.17963,0,0,294.6483,343.97864,-8.52E-05,341.16055,341.39,1.02E-17,-7.45E-18,0,0,0,0,343.15,343.15,-66.303185,0,13500,-16614.76853,-7944.6475,-7950.4395,0,0,0,-15895.087,0,0,0.38827515
240,-0.042387918,342.2285,297.52158,-0.042387918,342.25055,0,0,294.62732,343.97864,-8.52E-05,341.17438,341.39984,-3.24E-19,2.05E-18,0,0,0,0,343.15,343.15,-66.303185,0,14400,-16614.76853,-7959.1377,-7963.0654,0,0,0,-15922.203,0,0,0.36730957
255,-0.042387918,342.299,297.52158,-0.042387918,342.31396,0,0,294.59827,343.97864,-8.52E-05,341.1886,341.41,-2.54E-21,-1.93E-21,0,0,0,0,343.15,343.15,-66.303185,0,15300,-16614.76853,-7971.6934,-7974.3555,0,0,0,-15946.049,0,0,0.33825684
270,-0.042387918,342.36182,297.52158,-0.042387918,342.37192,0,0,294.57553,343.97864,-8.52E-05,341.2032,341.42053,-1.13E-22,5.16E-22,0,0,0,0,343.15,343.15,-66.303185,0,16200,-16614.76853,-7982.8745,-7984.673,0,0,0,-15967.547,0,0,0.31552124
285,-0.042387918,342.41876,297.52158,-0.042387918,342.4256,0,0,294.54507,343.97864,-8.52E-05,341.21808,341.4314,-1.42E-21,6.49E-21,0,0,0,0,343.15,343.15,-66.303185,0,17100,-16614.76853,-7993.012,-7994.2295,0,0,0,-15987.242,0,0,0.2850647
300,-0.042387918,342.4706,297.52158,-0.042387918,342.47525,0,0,294.51572,343.97864,-8.52E-05,341.23328,341.44254,-8.68E-24,3.98E-23,0,0,0,0,343.15,343.15,-66.303185,0,18000,-16614.76853,-8002.243,-8003.069,0,0,0,-16005.3125,0,0,0.2557068
315,-0.042387918,342.51782,297.52158,-0.042387918,342.52094,0,0,294.48163,343.97864,-8.52E-05,341.24875,341.45395,-1.31E-24,6.00E-24,0,0,0,0,343.15,343.15,-66.303185,0,18900,-16614.76853,-8010.648,-8011.202,0,0,0,-16021.85,0,0,0.22161865
330,-0.042387918,342.56003,297.52158,-0.042387918,342.56216,0,0,294.448,343.97864,-8.52E-05,341.26437,341.46558,2.39E-26,-1.09E-25,0,0,0,0,343.15,343.15,-66.303185,0,19800,-16614.76853,-8018.162,-8018.542,0,0,0,-16036.704,0,0,0.18798828
345,-0.042387918,342.5966,297.52158,-0.042387918,342.59802,0,0,294.42386,343.97864,-8.52E-05,341.28012,341.47733,2.31E-17,-2.83E-17,0,0,0,0,343.15,343.15,-66.303185,0,20700,-16614.76853,-8024.671,-8024.926,0,0,0,-16049.597,0,0,0.16384888
360,-0.042387918,342.6267,297.52158,-0.042387918,342.6277,0,0,294.39322,343.97864,-8.52E-05,341.2959,341.4891,1.19E-17,3.60E-18,0,0,0,0,343.15,343.15,-66.303185,0,21600,-16614.76853,-8030.033,-8030.207,0,0,0,-16060.24,0,0,0.13320923
375,-0.042387918,342.64902,297.52203,-0.042387918,342.6497,0,0,294.37103,343.97708,-8.52E-05,341.31152,341.50085,6.70E-18,9.39E-18,0,0,0,0,343.15,343.15,-66.303185,0,22500,-16614.04961,-8033.9233,-8034.0425,0,0,0,-16067.966,0,0,0.11102295
390,-0.042387918,342.66245,297.5344,-0.042387918,342.66287,0,0,294.34314,343.93393,-8.52E-05,341.32697,341.51245,6.53E-18,3.88E-18,0,0,0,0,343.15,343.15,-66.303185,0,23400,-16594.19664,-8034.1133,-8034.1895,0,0,0,-16068.303,0,0,0.08312988
405,-0.04238792,342.66492,297.64517,-0.04238792,342.66522,0,0,294.3163,343.55853,-8.52E-05,341.34198,341.5237,9.41E-18,-2.68E-17,0,0,0,0,343.15,343.15,-66.30319,0,24300,-16420.32362,-8014.832,-8014.8867,0,0,0,-16029.719,0,0,0.05630493
420,-0.04238793,342.65503,298.2772,-0.04238793,342.65524,0,0,294.28583,341.5309,-8.52E-05,341.35645,341.53452,-1.08E-17,-3.44E-17,0,0,0,0,343.15,343.15,-66.30321,0,25200,-15469.1411,-7900.555,-7900.5933,0,0,0,-15801.148,0,0,0.025817871
435,-0.04238794,342.6312,299.6639,-0.04238794,342.63135,0,0,294.26038,336.92078,-8.52E-05,341.37015,341.5447,-1.88E-18,-1.07E-17,0,0,0,0,343.15,343.15,-66.303215,0,26100,-13324.44539,-7649.4375,-7649.465,0,0,0,-15298.902,0,0,0.000366211
450,-0.04238796,342.59076,301.49542,-0.04238796,342.59088,0,0,294.22568,330.1703,-8.52E-05,341.38284,341.55405,7.89E-18,-1.31E-17,0,0,0,0,343.15,343.15,-66.303246,0,27000,-10255.20614,-7316.1787,-7316.2007,0,0,0,-14632.379,0,0,-0.034332275
465,-0.04238798,342.53308,303.55606,-0.04238798,342.53314,0,0,294.19345,321.60446,-8.52E-05,341.39435,341.5624,1.07E-17,-5.81E-18,0,0,0,0,343.15,343.15,-66.30328,0,27900,-6454.787553,-6939.0605,-6939.0713,0,0,0,-13878.132,0,0,-0.06655884
480,-0.042388003,342.45615,305.312,-0.042388003,342.4562,0,0,294.1655,312.9308,-8.52E-05,341.40442,341.56955,1.41E-18,4.14E-17,0,0,0,0,343.15,343.15,-66.303314,0,28800,-2724.761922,-6612.756,-6612.767,0,0,0,-13225.523,0,0,-0.09451294
495,-0.042388033,342.35907,306.46173,-0.042388033,342.3591,0,0,294.13138,305.28036,-8.52E-05,341.41287,341.5753,8.38E-18,4.44E-18,0,0,0,0,343.15,343.15,-66.30337,0,29700,422.5014816,-6390.794,-6390.7993,0,0,0,-12781.594,0,0,-0.12863159
510,-0.042388067,342.23917,306.81464,-0.042388067,342.2392,0,0,294.10443,299.84573,-8.52E-05,341.4193,341.57935,-1.74E-17,1.08E-17,0,0,0,0,343.15,343.15,-66.30341,0,30600,2492.347008,-6306.6245,-6306.6304,0,0,0,-12613.255,0,0,-0.15557861
525,-0.0423881,342.0957,306.52975,-0.0423881,342.0957,0,0,294.0735,296.6239,-8.52E-05,341.42358,341.58148,2.80E-19,5.59E-19,0,0,0,0,343.15,343.15,-66.303474,0,31500,3542.71631,-6331.806,-6331.806,0,0,0,-12663.612,0,0,-0.18652344
540,-0.042388137,341.92642,305.8684,-0.042388137,341.92642,0,0,294.04404,295.07187,-8.52E-05,341.42526,341.58142,-3.23E-17,4.72E-17,0,0,0,0,343.15,343.15,-66.30353,0,32400,3861.263389,-6419.4146,-6419.4146,0,0,0,-12838.829,0,0,-0.2159729
555,-0.042388175,341.7313,305.0817,-0.042388175,341.7313,0,0,294.01416,294.42847,-8.52E-05,341.42422,341.57898,-9.42E-19,-2.02E-18,0,0,0,0,343.15,343.15,-66.30359,0,33300,3810.013206,-6524.74,-6524.74,0,0,0,-13049.48,0,0,-0.24584961
570,-0.042388212,341.50803,304.3022,-0.042388212,341.50803,0,0,293.9868,294.2048,-8.52E-05,341.41998,341.5738,3.76E-18,2.80E-18,0,0,0,0,343.15,343.15,-66.30365,0,34200,3611.223503,-6623.774,-6623.774,0,0,0,-13247.548,0,0,-0.27322388
585,12.366803,349.17307,294.09802,0.11207147,340.10013,3.532571,3.2083166,293.97217,340.78247,0.0125342,349.01242,339.64114,0.99988353,4.56E-16,0.67407316,0,2188408,0,343.15,343.15,-4600.683,1,35100,2457639.329,2860629.2,21653.2,2188408,0,6.7408876,2882282.5,2188408,2188414.8,-0.2878418
600,5.1951885,328.44427,294.69934,5.4584346,342.52792,2.6190917,2.5226793,294.0648,343.44727,0.010700856,327.71255,342.50476,0.013863136,1,0,0.3949405,0,276768.62,343.15,343.15,-4138.23,1,36000,2190907.068,736307.44,1096490.6,0,276768.62,5.1417713,1832798,276768.62,276773.78,-0.19522095
615,4.539066,310.0763,295.89426,4.539067,344.52478,2.2040248,2.1230216,294.19873,329.90906,0.009118381,309.86096,344.4793,0.99108803,1,0,0.33097932,0,231945.53,343.14993,343.14993,-4123.3257,1,36900,1302671.638,270367.44,927096.2,0,231945.53,4.3270464,1197463.6,231945.53,231949.86,-0.061279297
630,7.7630663,354.10632,296.3187,7.763067,337.7066,3.9839091,3.8353038,294.3107,347.70053,0.01559497,353.99524,337.6723,0.99879754,1,0.42556787,0.16454186,1381624.8,115308.56,343.1499,343.1499,-4202.8984,1,37800,3365452.291,1884158.6,1349447.9,1381624.8,115308.56,7.819213,3233606.5,1496933.2,1496941.1,0.050689697
645,11.181628,342.49304,296.09494,11.181628,345.40125,5.8017635,5.5673265,294.4107,344.2363,0.022462405,342.46783,345.35934,0.99879754,1,0.14828236,0.15971082,481405.2,111923.055,343.14987,343.14987,-4073.1929,1,38700,4541756.858,2178986.5,2315564,481405.2,111923.055,11.36909,4494550.5,593328.25,593339.6,0.1506958
