,Boiler power consumed,Pumps power consumed,Total plant energy consumed,scenario_name,%age reduction in plant energy consumption
0,645562554.5,4650.638738,645567212.9,case_study_scenario_1_15min,0
1,597498102.1,7285.352257,597505388,case_study_scenario_5_15min,7.444898664
