minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
46080,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,2764800.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
46095,-0.042388476,293.15,293.15,-0.042388476,293.15,0.0,0.0,293.15,293.15,-8.515282e-05,293.15,293.15,-2.201403e-25,1.3737159e-26,0.0,0.0,0.0,0.0,343.15,343.15,-66.30406,1.0,2765700.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
46110,12.273016,320.6889,293.28183,12.272859,293.67728,7.1511993,6.8660817,293.1596,316.08682,0.0246547,321.08826,293.7177,0.9989886,0.6547321,1.0,0.0,3246544.0,0.0,343.15,343.15,-4553.268,1.0,2766600.0,2361451.013380406,1412743.4,20383.703,3246544.0,0.0,14.017281,1433127.1,3246544.0,3246558.0,-1.1004028
46125,11.410828,302.56192,296.71796,11.92745,338.69006,6.278984,6.025214,293.27225,321.26535,0.023441749,302.41364,338.83353,0.014316269,1.0,0.0,1.0,0.0,700785.6,343.15,343.15,-4209.695,1.0,2767500.0,2416822.113361343,280074.75,2102604.8,0.0,700785.6,12.304198,2382679.5,700785.6,700797.94,-0.98776245
46140,10.911095,327.34045,300.24063,10.911095,349.29086,5.8042316,5.5745745,293.46884,331.39276,0.02191894,327.85333,349.39456,0.99998516,1.0,1.0,1.0,3246544.0,700785.6,343.15,343.15,-4198.885,1.0,2768400.0,2867850.943693759,1241892.6,2247805.2,3246544.0,700785.6,11.378806,3489698.0,3947329.5,3947341.0,-0.7911682
46155,9.33939,347.26514,301.6286,9.33939,334.8398,4.86285,4.6767907,293.74814,342.52942,0.018761594,347.2607,334.83798,0.99998504,1.0,0.8127353,0.54161346,2638581.0,379554.9,343.15,343.15,-4185.923,1.0,2769300.0,3222931.038463821,1790113.1,1302724.4,2638581.0,379554.9,9.53964,3092837.5,3018136.0,3018145.5,-0.51187134
46170,7.6718874,344.1849,302.23355,7.6718874,346.71307,3.904699,3.7586968,294.0701,345.57303,0.015411803,344.0704,346.61072,0.99998504,1.0,0.5714176,0.5465299,1855132.4,383000.28,343.14996,343.14996,-4170.9966,1.0,2770200.0,2805345.7790922266,1351753.5,1433216.0,1855132.4,383000.28,7.663396,2784969.5,2238132.8,2238140.5,-0.18991089
46185,7.3060923,345.75513,300.8973,7.3060923,345.00912,3.7069001,3.5689292,294.3497,344.93115,0.014676969,345.73834,345.002,0.99998504,1.0,0.44206086,0.38767013,1435170.0,271673.66,343.14993,343.14993,-4175.826,1.0,2771100.0,2714390.045595536,1376488.5,1353597.0,1435170.0,271673.66,7.2758293,2730085.5,1706843.6,1706850.9,0.08969116
46200,14.687848,345.55222,299.02533,14.687848,345.52808,7.8667016,7.4934573,294.55173,345.2455,0.029505936,345.3635,345.3646,0.99998504,1.0,0.265455,0.22897084,861811.3,160459.47,343.1499,343.1499,-4017.19,1.0,2772000.0,5727833.245933164,2870195.2,2868706.0,861811.3,160459.47,15.360159,5738901.0,1022270.75,1022286.1,0.29171753
46215,-0.0012538079,342.41418,297.71017,-0.0012538079,342.5592,-5.3917934e-26,-5.3856656e-26,294.67758,344.6203,-2.5187335e-06,342.25424,342.42322,-0.00028206,-0.00028207005,0.0,0.0,0.0,0.0,343.1499,343.1499,-1.9536533,0.0,2772900.0,-496.2472380433361,-235.41101,-236.17468,0.0,0.0,-1.077746e-25,-471.5857,0.0,-1.077746e-25,0.41757202
