,Boiler power consumed,Pumps power consumed,Total plant energy consumed,scenario_name,%age reduction in plant energy consumption
0,2948842990,19615.83281,2948862547,case_study_scenario_1_15mins_Jan,0
1,2902195022,23722.33488,2902218739,case_study_scenario_5_15mins_Jan,1.581755913
,,,46643807.71,,
,,,,,
,1689940342,62839131.21,,,
,1627100106,,,,
,,16195323.49,,,
,1258902648,,,,
,1275094916,,,,
