minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
195,-0.063368775,339.90793,297.88675,-0.063368775,339.7943,0.0,0.0,294.68945,235.35,341.51428,-0.00012729946,339.62524,339.04507,-5.5341564e-22,6.7728395e-24,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,11700.0,-23325.797078071275,-11183.889,-11153.65,0.0,0.0,0.0,-22337.54,0.0,0.0,0.42944336
210,-0.063368775,339.94446,297.88675,-0.063368775,339.86792,0.0,0.0,294.64694,235.35,341.51428,-0.00012729946,339.634,339.0517,-6.979779e-31,-1.0265018e-30,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,12600.0,-23325.797078071275,-11193.611,-11173.241,0.0,0.0,0.0,-22366.852,0.0,0.0,0.38693237
225,-0.063368775,339.98093,297.88675,-0.063368775,339.92938,0.0,0.0,294.60306,235.35,341.51428,-0.00012729946,339.64337,339.05853,3.7859565e-35,5.567928e-35,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,13500.0,-23325.797078071275,-11203.317,-11189.599,0.0,0.0,0.0,-22392.916,0.0,0.0,0.3430481
240,-0.063368775,340.0176,297.88675,-0.063368775,339.98282,0.0,0.0,294.5663,235.35,341.51428,-0.00012729946,339.65335,339.06555,-1.256669e-39,-1.848159e-39,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,14400.0,-23325.797078071275,-11213.08,-11203.821,0.0,0.0,0.0,-22416.902,0.0,0.0,0.30630493
255,-0.063368775,340.0545,297.88675,-0.063368775,340.03104,0.0,0.0,294.5193,235.35,341.51428,-0.00012729946,339.66394,339.07278,4.4123297e-23,-1.5152473e-23,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,15300.0,-23325.797078071275,-11222.9,-11216.654,0.0,0.0,0.0,-22439.555,0.0,0.0,0.25927734
270,-0.063368775,340.09143,297.88675,-0.063368775,340.07556,0.0,0.0,294.47464,235.35,341.51428,-0.00012729946,339.67514,339.0802,3.1089245e-27,-1.06764225e-27,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,16200.0,-23325.797078071275,-11232.729,-11228.505,0.0,0.0,0.0,-22461.234,0.0,0.0,0.21463013
285,-0.06336878,340.128,297.89853,-0.06336878,340.11722,0.0,0.0,294.42184,235.35,341.4956,-0.00012729946,339.6869,339.08783,8.6159634e-19,8.137798e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30336,0.0,17100.0,-23309.513252404202,-11239.324,-11236.457,0.0,0.0,0.0,-22475.781,0.0,0.0,0.16183472
300,-0.06336879,340.16373,298.7884,-0.06336879,340.15643,0.0,0.0,294.36847,235.35,340.1587,-0.00012729949,339.69913,339.09564,7.0494146e-19,2.4303755e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30337,0.0,18000.0,-22118.955275831453,-11012.001,-11010.06,0.0,0.0,0.0,-22022.06,0.0,0.0,0.10845947
315,-0.06336882,340.19794,302.96393,-0.06336882,340.193,0.0,0.0,294.31146,235.28465,333.72748,-0.00012729954,339.7118,339.1036,-4.9602726e-20,3.0213092e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.3034,0.0,18900.0,-16447.980521679285,-9909.796,-9908.48,0.0,0.0,0.0,-19818.277,0.0,0.0,0.051452637
330,-0.06336886,340.2299,309.55478,-0.06336886,340.22656,0.0,0.0,294.25848,235.1341,322.93784,-0.00012729962,339.7248,339.11172,4.8404732e-20,7.3877403e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303444,0.0,19800.0,-7155.36347910799,-8164.156,-8163.2705,0.0,0.0,0.0,-16327.426,0.0,0.0,-0.0015258789
