minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.18818447,293.15,293.15,-0.18818447,293.15,0.0,0.0,293.15,235.95,293.15,-0.0003780376,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.009138421,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.063369624,293.15,293.10843,-0.063369624,293.15,0.0,0.0,293.09225,236.01562,293.1474,-0.00012730116,293.15,293.15,-8.725371e-19,1.043172e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30425,1.0,900.0,-20.836396285961456,-11.062611,-11.062611,0.0,0.0,0.0,-22.125221,0.0,0.0,-1.1677551
30,19.759142,307.05585,293.2209,19.75889,293.2807,12.640812,12.298166,293.04086,236.0625,304.50534,0.03969324,307.3483,293.2915,0.9989978,0.65634966,1.0,0.0,2426755.0,0.0,343.15,343.15,-4657.5444,1.0,1800.0,1881249.5329911371,1148141.2,4963.8423,2426755.0,0.0,24.938978,1153105.1,2426755.0,2426780.0,-1.2191467
45,18.840034,296.18896,295.73447,19.672407,346.45032,11.238221,10.925453,293.09238,236.09062,320.15576,0.038683187,296.19757,346.58054,0.014516842,1.0,0.0,0.9373146,0.0,1408936.1,343.15,343.15,-4226.476,1.0,2700.0,3967712.8385029165,35963.61,4190352.0,0.0,1408936.1,22.163673,4226315.5,1408936.1,1408958.2,-1.167633
60,18.200054,317.36307,299.92868,18.200056,355.554,10.483926,10.200091,293.31296,236.1,331.75244,0.036561493,317.5439,355.78287,0.99916834,1.0,1.0,1.0,2426755.0,1503162.5,343.15,343.15,-4222.583,1.0,3600.0,4886801.678394955,1332688.5,4252011.5,2426755.0,1503162.5,20.684017,5584700.0,3929917.5,3929938.2,-0.947052
75,15.055646,327.54324,302.3855,15.055646,336.79678,8.343036,8.129494,293.70145,236.09062,336.39597,0.030244792,327.6322,336.41022,0.99916834,1.0,1.0,0.124791384,2426755.0,187581.73,343.15,343.15,-4209.87,1.0,4500.0,4320285.951129051,1590817.8,2175953.5,2426755.0,187581.73,16.47253,3766771.2,2614336.8,2614353.2,-0.55856323
90,10.773351,336.50888,302.72577,10.773351,347.57083,5.643981,5.504464,294.09738,236.0625,338.6147,0.02164223,336.6828,347.73566,0.99916834,1.0,1.0,0.46667022,2426755.0,701481.2,343.14996,343.14996,-4175.3687,1.0,5400.0,3262208.0024124444,1528620.8,2029152.8,2426755.0,701481.2,11.148445,3557773.5,3128236.2,3128247.5,-0.16262817
105,10.903186,346.36755,300.8121,10.903186,343.74255,5.708798,5.5674396,294.41968,236.01562,343.6784,0.021903051,346.52783,343.74554,0.99916834,1.0,0.9278575,0.23283455,2251682.8,349988.16,343.14993,343.14993,-4166.2856,1.0,6300.0,3943391.811842878,2086138.0,1965930.4,2251682.8,349988.16,11.2762375,4052068.5,2601671.0,2601682.2,0.15966797
120,10.752215,348.26508,298.78195,10.752215,345.04947,5.595824,5.4570813,294.63962,235.95,346.83453,0.021599771,348.22525,345.03284,0.99916834,1.0,0.42219305,0.09202258,1024559.06,138324.89,343.1499,343.1499,-4146.976,1.0,7200.0,4359284.094567818,2234623.5,2089408.9,1024559.06,138324.89,11.052905,4324032.5,1162884.0,1162895.0,0.37960815
135,-0.06336878,343.23615,297.89383,-0.06336878,343.47852,0.0,0.0,294.74417,235.81406,345.77014,-0.00012729947,342.93155,343.33173,1.2283229e-11,1.23302575e-11,0.0,0.0,0.0,0.0,343.15,343.15,-66.30336,0.0,8100.0,-25597.44263411039,-12067.808,-12132.313,0.0,0.0,0.0,-24200.121,0.0,0.0,0.48416138
150,-0.063368775,343.45337,297.89383,-0.063368775,343.61652,0.0,0.0,294.76434,235.6125,345.77014,-0.00012729946,342.95306,343.3356,-4.9665466e-17,-4.9826243e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,9000.0,-25597.439708003832,-12125.62,-12169.041,0.0,0.0,0.0,-24294.66,0.0,0.0,0.5043335
165,-0.063368045,343.61346,297.89383,-0.063368045,343.72336,0.0,0.0,294.75345,235.42969,345.77014,-0.00012729797,342.97507,343.33972,5.2884458e-20,5.1281036e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.303024,0.0,9900.0,-25597.14124513501,-12168.088,-12197.336,0.0,0.0,0.0,-24365.424,0.0,0.0,0.49343872
180,-0.06336866,343.73523,297.89383,-0.06336866,343.8093,0.0,0.0,294.72293,235.35,345.77014,-0.00012729922,342.99756,343.34412,-8.455232e-22,-5.12032e-22,0.0,0.0,0.0,0.0,343.15,343.15,-66.30341,0.0,10800.0,-25597.39289029892,-12200.614,-12220.327,0.0,0.0,0.0,-24420.941,0.0,0.0,0.46292114
195,-0.063368686,343.83176,297.89383,-0.063368686,343.88168,0.0,0.0,294.69357,235.35,345.77014,-0.00012729928,343.0205,343.34875,9.125897e-23,3.1795674e-22,0.0,0.0,0.0,0.0,343.15,343.15,-66.3034,0.0,11700.0,-25597.404594725147,-12226.309,-12239.597,0.0,0.0,0.0,-24465.906,0.0,0.0,0.43356323
210,-0.063368775,343.9115,297.89383,-0.063368775,343.9451,0.0,0.0,294.651,235.35,345.77014,-0.00012729946,343.04395,343.3537,-2.5102957e-31,1.9566525e-31,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,12600.0,-25597.439708003832,-12247.551,-12256.493,0.0,0.0,0.0,-24504.043,0.0,0.0,0.3909912
225,-0.063368775,343.98007,297.89383,-0.063368775,344.00275,0.0,0.0,294.60712,235.35,345.77014,-0.00012729946,343.0679,343.35892,1.2884329e-35,-1.00427044e-35,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,13500.0,-25597.439708003832,-12265.801,-12271.836,0.0,0.0,0.0,-24537.637,0.0,0.0,0.34710693
240,-0.063368775,344.0413,297.89383,-0.063368775,344.05658,0.0,0.0,294.57034,235.35,345.77014,-0.00012729946,343.09235,343.36438,-4.11065e-40,3.20405e-40,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,14400.0,-25597.439708003832,-12282.095,-12286.163,0.0,0.0,0.0,-24568.258,0.0,0.0,0.31033325
255,-0.063368775,344.0976,297.89383,-0.063368775,344.1079,0.0,0.0,294.5236,235.35,345.77014,-0.00012729946,343.11725,343.37015,-4.7168587e-23,-2.3169506e-23,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,15300.0,-25597.439708003832,-12297.08,-12299.825,0.0,0.0,0.0,-24596.906,0.0,0.0,0.26358032
270,-0.063368775,344.15027,297.89383,-0.063368775,344.15726,0.0,0.0,294.47897,235.35,345.77014,-0.00012729946,343.14264,343.3762,-3.2823015e-27,-1.6122871e-27,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,16200.0,-25597.439708003832,-12311.099,-12312.959,0.0,0.0,0.0,-24624.059,0.0,0.0,0.21896362
285,-0.063368775,344.20007,297.8973,-0.063368775,344.20477,0.0,0.0,294.42703,235.35,345.7646,-0.00012729946,343.16843,343.38248,8.853381e-20,-2.8980624e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,17100.0,-25592.610036262897,-12323.429,-12324.679,0.0,0.0,0.0,-24648.107,0.0,0.0,0.1670227
300,-0.06336879,344.2471,298.5438,-0.06336879,344.25027,0.0,0.0,294.3728,235.35,344.79724,-0.00012729949,343.19455,343.389,-9.997849e-19,6.7900175e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30337,0.0,18000.0,-24729.76872725159,-12163.887,-12164.731,0.0,0.0,0.0,-24328.617,0.0,0.0,0.11279297
315,-0.06336881,344.29114,302.67056,-0.06336881,344.2933,0.0,0.0,294.31653,235.28465,338.5516,-0.00012729953,343.22095,343.39575,6.109696e-19,7.9695414e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.3034,0.0,18900.0,-19184.08714531861,-11077.275,-11077.852,0.0,0.0,0.0,-22155.127,0.0,0.0,0.056518555
330,-0.06336885,344.3317,309.62305,-0.06336885,344.33316,0.0,0.0,294.26617,235.1341,327.4186,-0.0001272996,343.2475,343.40268,5.0770783e-18,5.0308856e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30344,0.0,19800.0,-9514.545788236184,-9237.678,-9238.068,0.0,0.0,0.0,-18475.746,0.0,0.0,0.006164551
345,-0.06336891,344.36786,317.33496,-0.06336891,344.36887,0.0,0.0,294.21204,234.96648,313.96646,-0.00012729972,343.27408,343.40976,-3.1574634e-20,-7.944538e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30349,0.0,20700.0,1800.9980878401777,-7194.79,-7195.058,0.0,0.0,0.0,-14389.848,0.0,0.0,-0.047973633
360,-0.06336897,344.3989,322.7334,-0.06336897,344.39957,0.0,0.0,294.16257,234.85,302.9574,-0.00012729983,343.3005,343.4169,4.645614e-19,1.4830831e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30356,0.0,21600.0,10573.422917193653,-5766.2646,-5766.4434,0.0,0.0,0.0,-11532.708,0.0,0.0,-0.09744263
375,-0.06336905,344.42358,324.49725,-0.06336905,344.42404,0.0,0.0,294.10403,234.82443,296.95807,-0.0001273,343.32663,343.4241,-4.501926e-19,-3.2160728e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30364,0.0,22500.0,14724.099768475086,-5303.3936,-5303.515,0.0,0.0,0.0,-10606.908,0.0,0.0,-0.15597534
390,-0.06336913,344.44064,323.77356,-0.06336913,344.44095,0.0,0.0,294.04504,234.85,294.8316,-0.00012730017,343.35217,343.43124,1.4903176e-19,5.1817463e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303734,0.0,23400.0,15474.126502447838,-5500.552,-5500.633,0.0,0.0,0.0,-11001.185,0.0,0.0,-0.21496582
405,-0.1879066,344.44858,322.16068,-0.0005802157,344.44864,4.25e-43,1.207294e-39,293.98184,234.87556,294.31522,-0.00018932248,343.3775,343.43817,0.019044487,7.4763686e-19,0.0,0.0,0.0,0.0,343.15,343.15,-99.06805,1.0,24300.0,22141.44008548402,-17589.785,-54.313675,0.0,0.0,1.207719e-39,-17644.1,0.0,1.207719e-39,-0.27816772
420,9.448682,336.4556,294.181,9.448402,341.26596,5.1274695,5.0045233,293.95703,234.85,340.61713,0.018980866,336.88638,340.7559,0.99975955,0.5022984,0.8760589,0.0,2125980.2,0.0,343.15,343.15,-4404.171,1.0,25200.0,3701871.232348424,1677644.8,1868486.1,2125980.2,0.0,10.131992,3546131.0,2125980.2,2125990.5,-0.30297852
435,7.566819,309.95807,294.99362,7.915577,341.8363,3.8904743,3.7949326,294.0861,234.73196,339.0209,0.015551038,309.5102,341.21274,0.014565484,1.0,0.0,0.02976152,0.0,44736.4,343.15,343.15,-4143.4326,1.0,26100.0,2875613.7914274405,475579.72,1557304.8,0.0,44736.4,7.6854067,2032884.5,44736.4,44744.082,-0.17391968
450,6.8247066,316.38943,296.02737,6.824707,355.85947,3.3918166,3.308567,294.2432,234.5534,322.88162,0.013709929,318.39954,357.88702,0.99900675,1.0,1.0,1.0,2426755.0,1503162.5,343.14996,343.14996,-4139.9976,1.0,27000.0,1546313.2850973124,583653.4,1715013.2,2426755.0,1503162.5,6.7003837,2298666.5,3929917.5,3929924.2,-0.016815186
465,9.221233,350.68793,296.18668,9.221233,340.04276,4.693769,4.577869,294.35422,234.37315,345.91574,0.018524233,350.77945,339.91928,0.99900675,1.0,0.73429996,0.08150828,1781966.1,122520.19,343.1499,343.1499,-4125.821,1.0,27900.0,3869009.753149885,2110788.8,1698510.0,1781966.1,122520.19,9.271638,3809298.8,1904486.2,1904495.5,0.09420776
480,10.984477,345.34528,295.8779,10.984477,345.4876,5.741068,5.598657,294.44034,234.25,345.52115,0.022066355,345.358,345.49408,0.99900675,1.0,0.2756526,0.07970051,668941.3,119802.805,343.14987,343.14987,-4154.1724,1.0,28800.0,4600871.329937945,2282167.8,2288734.2,668941.3,119802.805,11.3397255,4570902.0,788744.1,788755.44,0.18032837
495,-0.06336878,341.96158,296.388,-0.06336878,343.70834,7.3e-44,7.3e-44,294.47845,234.19376,344.48337,-0.00012729946,341.36676,343.7562,2.5154308e-15,2.5248348e-15,0.0,0.0,0.0,0.0,343.15,343.15,-66.30336,0.0,29700.0,-25714.559247721525,-12129.357,-12594.257,0.0,0.0,1.46e-43,-24723.613,0.0,1.46e-43,0.21844482
510,-0.06336879,342.4136,296.46945,-0.06336879,343.58948,0.0,0.0,294.46045,234.175,344.40408,-0.00012729947,341.41074,343.7534,1.212063e-17,1.738637e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,30600.0,-25628.623390029225,-12227.987,-12540.944,0.0,0.0,0.0,-24768.932,0.0,0.0,0.20043945
525,-0.06336865,342.7306,296.7363,-0.06336865,343.52322,0.0,0.0,294.427,234.19376,344.12045,-0.0001272992,341.45462,343.7509,4.136152e-19,-4.378412e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30344,0.0,31500.0,-25334.252051931828,-12241.304,-12452.262,0.0,0.0,0.0,-24693.566,0.0,0.0,0.16699219
540,-0.0633688,342.95734,299.40396,-0.0633688,343.49222,0.0,0.0,294.37653,234.25,341.19095,-0.0001272995,341.49847,343.7487,7.545656e-20,-1.5316753e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303375,0.0,32400.0,-22341.742806213817,-11591.686,-11734.044,0.0,0.0,0.0,-23325.73,0.0,0.0,0.11651611
555,-0.06336883,343.12448,305.98782,-0.06336883,343.4847,0.0,0.0,294.3242,234.38594,333.7082,-0.00012729956,341.54227,343.74677,-1.5654907e-20,4.5919937e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.303406,0.0,33300.0,-14820.920166371732,-9883.888,-9979.762,0.0,0.0,0.0,-19863.648,0.0,0.0,0.06417847
570,-0.06336887,343.25027,316.1241,-0.06336887,343.49356,0.0,0.0,294.26514,234.5875,321.65814,-0.00012729965,341.58603,343.74518,-4.2791323e-20,8.298592e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30346,0.0,34200.0,-2958.8146801837743,-7219.6074,-7284.358,0.0,0.0,0.0,-14503.965,0.0,0.0,0.005126953
585,-0.06336893,343.34854,326.1883,-0.06336893,343.51328,0.0,0.0,294.2086,234.77031,308.88968,-0.00012729978,341.62976,343.74387,-1.1438668e-20,6.224289e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30352,0.0,35100.0,9248.860960015116,-4567.1914,-4611.035,0.0,0.0,0.0,-9178.227,0.0,0.0,-0.05142212
600,-0.06336901,343.4286,332.37445,-0.06336901,343.53976,0.0,0.0,294.14523,234.85,299.91336,-0.00012729994,341.67343,343.74286,6.7783425e-20,1.6398257e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303604,0.0,36000.0,17355.637719804752,-2942.0571,-2971.6465,0.0,0.0,0.0,-5913.7036,0.0,0.0,-0.11477661
615,-0.063369095,343.4955,334.0571,-0.063369095,343.57053,0.0,0.0,294.08707,234.85,295.87732,-0.0001273001,341.717,343.7421,-8.987789e-20,-1.7331495e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303696,0.0,36900.0,20413.216096111242,-2512.0361,-2532.0007,0.0,0.0,0.0,-5044.037,0.0,0.0,-0.17294312
630,-0.06336919,343.5526,333.3113,-0.06336919,343.60333,0.0,0.0,294.02155,234.85,294.69934,-0.00012730029,341.76044,343.7416,-5.855608e-20,-9.0616395e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30379,0.0,37800.0,20644.32162336809,-2725.7288,-2739.228,0.0,0.0,0.0,-5464.957,0.0,0.0,-0.23846436
645,16.957579,343.8132,294.23038,0.1419769,343.35468,9.556119,0.0,293.96988,234.85,341.15457,0.017175369,343.81277,343.19394,0.9997054,-1.1712815e-17,0.49854535,0.0,1209847.4,0.0,343.15,343.15,-3793.1582,1.0,38700.0,3384949.4745767517,3531379.5,29292.965,1209847.4,0.0,9.556119,3560672.5,1209847.4,1209856.9,-0.29013062
