minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,260.95,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.04238848,293.15,293.13046,-0.04238848,293.15,0.0,0.0,293.11307,260.89532,293.14865,-8.515283e-05,293.15,293.15,3.0057122e-19,9.151409e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30407,900.0,-6.504961150000099,-3.47718,-3.47718,0.0,0.0,0.0,-6.95436,0.0,0.0,-1.1469421
30,12.855025,307.69232,293.22162,12.854861,293.3311,7.5754776,7.2668133,293.07782,260.86667,304.9846,0.025823874,307.99338,293.34564,0.9990122,0.656056,1.0,0.0,1623272.0,0.0,343.15,343.15,-4575.268,1800.0,1275814.9281503733,781289.25,5910.145,1623272.0,0.0,14.842291,787199.4,1623272.0,1623286.9,-1.18219
45,12.438438,295.94446,295.6295,12.988334,346.7256,6.946516,6.655089,293.11487,260.8797,320.14496,0.025539503,295.9507,346.84967,0.014509671,1.0,0.0,0.92927617,0.0,934364.0,343.15,343.15,-4221.715,2700.0,2629674.4697757275,16454.588,2787343.2,0.0,934364.0,13.601604,2803797.8,934364.0,934377.6,-1.1451416
60,12.427727,316.78333,299.88705,12.427727,354.81897,6.762173,6.4816527,293.26276,260.95,331.12543,0.024965651,316.95142,355.02863,0.9991724,1.0,1.0,1.0,1623272.0,1005475.0,343.15,343.15,-4218.6406,3600.0,3275522.55917758,881925.4,2867251.2,1623272.0,1005475.0,13.243826,3749176.5,2628747.0,2628760.2,-0.9972534
75,11.274561,325.30756,302.779,11.274561,343.63153,6.0373855,5.796318,293.5285,261.06116,340.57175,0.022649096,325.36874,342.9792,0.9991724,1.0,1.0,0.01264078,1623272.0,12709.988,343.15,343.15,-4209.218,4500.0,3595081.355287823,1066798.6,1934496.6,1623272.0,12709.988,11.833704,3001295.2,1635982.0,1635993.9,-0.73150635
90,9.548514,330.50198,304.14157,9.548515,344.63565,4.9844155,4.792968,293.8255,261.1839,334.97064,0.019181697,330.56216,344.83148,0.9991724,1.0,1.0,0.6142383,1623272.0,617601.3,343.15,343.15,-4186.3555,5400.0,2483686.339121107,1057151.8,1623965.1,1623272.0,617601.3,9.777384,2681117.0,2240873.2,2240883.0,-0.43450928
105,7.6686735,336.84155,302.76996,7.6686735,343.90167,3.898106,3.7522688,294.0904,261.3147,340.32144,0.015405347,336.94095,343.82886,0.9991724,1.0,1.0,0.31757814,1623272.0,319316.88,343.14996,343.14996,-4165.5664,6300.0,2429673.182233813,1097392.5,1324787.9,1623272.0,319316.88,7.650375,2422180.5,1942588.9,1942596.5,-0.1696167
120,7.919398,340.7703,301.26984,7.9193983,343.32727,4.028371,3.8770404,294.3209,261.45,341.0931,0.015909018,340.7399,343.33386,0.9991724,1.0,1.0,0.34587327,1623272.0,347766.94,343.14993,343.14993,-4155.857,7200.0,2660906.480756478,1313843.4,1398892.2,1623272.0,347766.94,7.9054112,2712735.5,1971039.0,1971046.9,0.06088257
135,7.181258,346.83865,299.68848,7.181258,344.61893,3.6235113,3.4885516,294.51114,261.59702,345.6678,0.014426194,346.85065,344.59247,0.9991724,1.0,0.7806168,0.197442,1267153.4,198523.0,343.1499,343.1499,-4157.9355,8100.0,2785887.043144157,1422109.9,1355160.1,1267153.4,198523.0,7.112063,2777270.0,1465676.4,1465683.5,0.25112915
150,8.637221,346.33417,298.1881,8.637221,344.0288,4.376123,4.209097,294.64572,261.75568,345.22565,0.01735103,346.22894,344.00824,0.9991724,1.0,0.4401688,0.1123505,714513.7,112965.62,343.14987,343.14987,-4101.793,9000.0,3427828.667480503,1746562.1,1662932.2,714513.7,112965.62,8.58522,3409494.5,827479.3,827487.9,0.38571167
165,-0.06287785,341.2135,297.2441,-0.06308911,342.4694,-5.990529e-26,-5.9838896e-26,294.72028,261.9115,344.3384,-0.00012652544,340.92352,342.3935,0.0013212685,0.0013251461,0.0,0.0,0.0,0.0,343.14987,343.14987,-98.97713,9900.0,-25026.233070446226,-11611.743,-11983.536,0.0,0.0,-1.1974418e-25,-23595.28,0.0,-1.1974418e-25,0.4602661
180,-0.042387918,341.63254,297.2478,-0.042387918,342.47086,4e-45,4e-45,294.74234,262.05,344.3353,-8.515169e-05,340.9587,342.39404,1.4863636e-14,1.491059e-14,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,10800.0,-16840.234439039792,-7901.7812,-8051.0264,0.0,0.0,8e-45,-15952.808,0.0,8e-45,0.48233032
