minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,t
2900,-0.0001883982,306.07892,292.76428,-1.8960302e-08,293.15366,2.4274912,-2.2327689e-37,290.6834,273.15,296.7467,0.00018841717,306.1785,293.15,0.99999857,1.0119841e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174029.5
2901,-0.0002131586,307.30414,292.69757,-2.1452175e-08,293.1568,3.6200902,-2.640083e-39,290.57498,273.15,301.4674,0.00021318004,307.32407,293.15005,0.9999986,1.0117436e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174089.5
2902,-0.00023845528,306.96167,292.6563,-2.3998021e-08,293.16068,5.074723,-3.1578e-41,290.46945,273.15,304.493,0.00023847928,306.92358,293.1501,0.9999986,1.0114596e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174149.5
2903,-0.00025842377,305.87634,292.62592,-2.600764e-08,293.16473,6.450247,-3.63e-43,290.368,273.15,305.80438,0.00025844976,305.83255,293.1501,0.9999986,1.0111781e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174209.5
2904,-0.00026992976,304.8929,292.6328,-2.7165598e-08,293.16864,7.345527,-4e-45,290.27106,273.15,305.65762,0.00026995692,304.86246,293.1501,0.9999986,1.0088637e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174269.67
2905,-0.00027578932,304.25055,292.71512,-2.7755304e-08,293.17227,7.8331394,0.0,290.17944,273.15,304.96164,0.0002758171,304.23264,293.15012,0.9999986,1.009936e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174329.5
2906,-0.00027909622,303.8926,292.90826,-2.8088106e-08,293.17575,8.117961,0.0,290.09167,273.15,304.33276,0.0002791243,303.88412,293.15012,0.9999986,1.007926e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174389.77
2907,-0.00028096358,303.76593,293.22458,-2.8276036e-08,293.1791,8.281879,0.0,290.00876,273.15,303.93692,0.00028099187,303.765,293.15012,0.9999986,1.005157e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174449.5
2908,-0.0002820188,303.83334,293.65985,-2.8382232e-08,293.18243,8.3755,0.0,289.92923,273.15,303.75165,0.00028204717,303.83893,293.15015,0.9999986,1.0054279e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174509.5
2909,-0.00028261694,304.06836,294.18814,-2.8442429e-08,293.18582,8.428886,0.0,289.8529,273.15,303.74854,0.00028264537,304.0794,293.1502,0.9999986,1.0056309e-15,1.0,0.0,15000.0,0.0,343.15,343.15,174569.67
2910,-0.0002828165,304.44315,294.7771,-1.5475923e-06,293.18872,8.493704,0.0,289.7792,273.15,303.907,0.0002843641,304.45847,293.1507,0.9999986,0.005350013,1.0,0.0,15000.0,0.0,343.15,343.15,174630.33
2911,-0.00024983246,305.10855,295.43814,-9.2891736e-05,293.26962,8.225448,0.0,289.70978,273.15,304.07434,0.00034272418,305.16138,293.29453,0.9999986,0.39253607,1.0,0.0,15000.0,0.0,343.15,343.15,174689.94
2912,-0.00015504404,307.4026,296.14542,-0.00014313545,293.82654,3.0309527,0.0,289.64322,273.15,302.78342,0.00029817948,307.61377,293.87085,0.9999986,0.92859215,1.0,0.0,15000.0,0.0,343.15,343.15,174749.72
2913,-0.00014420993,310.4559,296.68942,-0.00014380703,296.4224,2.4995272,0.0,289.57886,273.15,301.5332,0.00028801695,310.64032,296.84283,0.9999986,0.99713355,1.0,0.7903226,15000.0,17782.258,343.15,343.15,174809.33
2914,-0.00014437729,312.635,297.18823,-0.0001443651,303.67743,2.51147,0.0,289.51505,273.15,302.6813,0.0002887424,312.76526,304.1439,0.9999986,0.99991363,1.0,1.0,15000.0,22500.0,343.15,343.15,174869.45
2915,-0.00014270579,314.2962,297.6054,-0.00014270566,309.56534,2.4250553,0.0,289.4528,273.15,306.0891,0.00028541143,314.40018,309.932,0.9999986,0.9999977,1.0,1.0,15000.0,22500.0,343.15,343.15,174929.5
2916,-0.00014235989,315.59784,297.94147,-0.00014236008,314.1457,2.4074686,0.0,289.39316,273.15,309.81244,0.00028471995,315.67987,314.43246,0.9999986,0.99999994,1.0,1.0,15000.0,22500.0,343.15,343.15,174989.5
2917,-0.00014203726,316.63428,298.20746,-0.00014203745,317.72952,2.3911324,0.0,289.3374,273.15,312.96466,0.00028407472,316.7002,317.95493,0.9999986,1.0,1.0,1.0,15000.0,22500.0,343.15,343.15,175049.5
2918,-0.0001418936,315.54446,298.4292,-0.00014189379,320.53015,2.383882,0.0,289.2869,273.15,315.47498,0.0002837874,315.23215,320.70746,0.9999986,1.0,0.21311475,1.0,3196.7212,22500.0,343.15,343.15,175109.23
2919,-0.0001418113,310.11734,298.6497,-0.00014181148,322.7559,2.3797345,0.0,289.2416,273.15,316.91513,0.0002836228,309.78967,322.89517,0.9999986,1.0,0.0,1.0,0.0,22500.0,343.15,343.15,175169.67
2920,-0.00013921689,306.39148,298.91013,-0.00013921708,324.5091,3.3208523,0.0,289.20233,273.15,316.50427,0.000278434,306.18375,324.62292,0.9999986,1.0,0.0,1.0,0.0,22500.0,343.15,343.15,175230.28
2921,-0.00011399171,304.29453,299.16403,-0.00012481851,326.46817,27.825565,-0.021689681,289.169,273.15,314.9671,0.00023881021,304.1558,326.6428,0.9218713,1.0,0.0,1.0,0.0,22500.0,343.15,343.15,175289.38
2922,-5.5094017e-05,303.21085,299.46826,-0.00018822493,326.96048,44.138157,-7.6422544,289.13928,273.15,315.03308,0.00024331895,303.1101,326.89786,0.315624,1.0,0.0,1.0,0.0,22500.0,343.15,343.15,175348.19
2923,-6.044959e-06,302.98407,299.86047,-0.00026173572,324.1147,33.50437,-16.76769,289.112,273.15,317.56448,0.0002677807,302.89468,323.97095,0.02348862,1.0,0.0,1.0,0.0,22500.0,343.15,343.15,175408.86
2924,-4.1635303e-06,302.9458,300.4047,-0.00028187505,320.75128,14.768845,-5.9635034,289.08948,273.15,320.42886,0.0002860386,302.8632,320.65887,0.014578583,1.0,0.0,1.0,0.0,22500.0,343.15,343.15,175469.5
2925,-4.111159e-06,302.91406,301.0078,-0.00027842118,318.9735,6.5617075,0.78572476,289.0731,273.15,320.78128,0.00028253233,302.84222,318.9329,0.01457375,1.0,0.0,1.0,0.0,22500.0,343.15,343.15,175529.5
2926,-4.111909e-06,302.8875,301.64038,-0.00027847206,318.25632,4.4292784,2.8281558,289.06216,273.15,319.91168,0.00028258396,302.82892,318.2418,0.014573747,1.0,0.0,1.0,0.0,22500.0,343.15,343.15,175589.5
