,Boiler power consumed,Pumps power consumed,Total plant energy consumed,scenario_name,%age reduction in plant energy consumption
0,29249075.487310003,7048.473451931592,29256123.663070053,simulation_results_trial_1,0.0
1,27322316.198801838,16215.848231799242,27338532.03638318,simulation_results_trial_3,6.554496585982931
2,28475329.628739998,7052.104749914288,28482381.53092891,simulation_results_trial_4,2.644718558931429
3,25424010.4499679,15878.497338640174,25439888.62068935,simulation_results_trial_5,13.04422652272942
