minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
195,-0.0633691,339.48663,298.2893,-0.0633691,339.46738,0.0,0.0,294.6673,235.35,340.5678,-0.00012730011,339.25534,339.12173,-1.7850399e-30,-1.8980062e-31,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,11700.0,-22604.64430542921,-10964.679,-10959.553,0.0,0.0,0.0,-21924.23,0.0,0.0,0.4072876
210,-0.0633691,339.51114,298.2893,-0.0633691,339.49814,0.0,0.0,294.62323,235.35,340.5678,-0.00012730011,339.25876,339.126,5.3987224e-35,5.7403807e-36,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,12600.0,-22604.64430542921,-10971.2,-10967.74,0.0,0.0,0.0,-21938.941,0.0,0.0,0.3632202
225,-0.0633691,339.53455,298.2893,-0.0633691,339.52576,0.0,0.0,294.57968,235.35,340.5678,-0.00012730011,339.2624,339.13046,4.636395e-39,4.92981e-40,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,13500.0,-22604.64430542921,-10977.431,-10975.091,0.0,0.0,0.0,-21952.521,0.0,0.0,0.31967163
240,-0.0633691,339.55734,298.2893,-0.0633691,339.55142,0.0,0.0,294.53815,235.35,340.5678,-0.00012730011,339.2662,339.13507,-5.6e-44,-6e-45,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,14400.0,-22604.64430542921,-10983.498,-10981.922,0.0,0.0,0.0,-21965.42,0.0,0.0,0.2781372
255,-0.0633691,339.57993,298.2893,-0.0633691,339.57593,0.0,0.0,294.49103,235.35,340.5678,-0.00012730011,339.27023,339.13986,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,15300.0,-22604.64430542921,-10989.508,-10988.444,0.0,0.0,0.0,-21977.953,0.0,0.0,0.23101807
270,-0.0633691,339.60236,298.2893,-0.0633691,339.59964,0.0,0.0,294.4461,235.35,340.5678,-0.00012730011,339.27444,339.1448,-3.1000063e-23,-8.075637e-24,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,16200.0,-22604.64430542921,-10995.478,-10994.755,0.0,0.0,0.0,-21990.232,0.0,0.0,0.18609619
285,-0.06336911,339.62463,298.35535,-0.06336911,339.62277,0.0,0.0,294.3935,235.35,340.48062,-0.00012730013,339.2789,339.14993,-2.9004783e-19,5.975525e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,17100.0,-22522.721520065224,-10983.832,-10983.336,0.0,0.0,0.0,-21967.168,0.0,0.0,0.13348389
300,-0.063369125,339.64664,300.31427,-0.063369125,339.6454,0.0,0.0,294.33905,235.35,338.00055,-0.00012730015,339.2835,339.15518,-9.922635e-20,-1.3036718e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30321,0.0,18000.0,-20149.370530475608,-10468.322,-10467.989,0.0,0.0,0.0,-20936.312,0.0,0.0,0.07904053
315,-0.06336916,339.66815,306.37082,-0.06336916,339.6673,0.0,0.0,294.28238,235.28465,330.2302,-0.00012730023,339.2883,339.1606,-1.942484e-19,-5.626708e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30324,0.0,18900.0,-12756.67620279819,-8862.102,-8861.874,0.0,0.0,0.0,-17723.977,0.0,0.0,0.022369385
330,-0.0633692,339.68884,315.21097,-0.0633692,339.68826,0.0,0.0,294.23285,235.1341,318.56293,-0.00012730031,339.29324,339.16617,1.476788e-19,1.4562403e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30328,0.0,19800.0,-1792.1629485637247,-6514.802,-6514.6475,0.0,0.0,0.0,-13029.449,0.0,0.0,-0.027160645
345,-0.06336927,339.70834,323.66254,-0.06336927,339.70798,0.0,0.0,294.17868,234.96648,306.90295,-0.00012730043,339.29834,339.17184,2.0392043e-19,2.2495676e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,0.0,20700.0,8960.708721341425,-4270.606,-4270.509,0.0,0.0,0.0,-8541.115,0.0,0.0,-0.081329346
