minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
195,-0.042387918,334.98395,297.20737,-0.042387918,335.09717,0.0,0.0,294.7294,262.1075,336.4679,-8.515169e-05,334.57547,334.8952,-2.553819e-20,-1.0901342e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,11700.0,-14041.021309808377,-6725.3364,-6745.4927,0.0,0.0,0.0,-13470.829,0.0,0.0,0.46939087
210,-0.042387918,335.0731,297.20737,-0.042387918,335.14935,0.0,0.0,294.71405,262.0784,336.4679,-8.515169e-05,334.5906,334.89764,3.769654e-23,-1.8733403e-21,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,12600.0,-14041.021309808377,-6741.206,-6754.783,0.0,0.0,0.0,-13495.989,0.0,0.0,0.45404053
225,-0.042387918,335.14215,297.20737,-0.042387918,335.1935,0.0,0.0,294.6929,262.0351,336.4679,-8.515169e-05,334.60602,334.90027,-4.126568e-34,2.0507097e-32,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,13500.0,-14041.021309808377,-6753.501,-6762.645,0.0,0.0,0.0,-13516.146,0.0,0.0,0.43289185
240,-0.042387918,335.19785,297.20737,-0.042387918,335.23245,0.0,0.0,294.67505,262.05,336.4679,-8.515169e-05,334.62173,334.90308,4.6853e-40,-2.3283731e-38,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,14400.0,-14041.021309808377,-6763.4165,-6769.5776,0.0,0.0,0.0,-13532.994,0.0,0.0,0.41503906
255,-0.042387918,335.24463,297.20737,-0.042387918,335.26797,0.0,0.0,294.64716,262.16647,336.4679,-8.515169e-05,334.63773,334.90604,-6e-45,3.04e-43,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,15300.0,-14041.021309808377,-6771.745,-6775.9014,0.0,0.0,0.0,-13547.646,0.0,0.0,0.387146
270,-0.042387918,335.28546,297.20737,-0.042387918,335.3012,0.0,0.0,294.62433,262.33408,336.4679,-8.515169e-05,334.654,334.90918,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,16200.0,-14041.021309808377,-6779.0146,-6781.818,0.0,0.0,0.0,-13560.832,0.0,0.0,0.36431885
285,-0.042387918,335.32224,297.20737,-0.042387918,335.33286,0.0,0.0,294.59488,262.48465,336.4679,-8.515169e-05,334.6705,334.9125,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,17100.0,-14041.021309808377,-6785.5615,-6787.452,0.0,0.0,0.0,-13573.014,0.0,0.0,0.33486938
300,-0.042387918,335.356,297.20737,-0.042387918,335.36316,0.0,0.0,294.56516,262.55,336.4679,-8.515169e-05,334.6873,334.916,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,18000.0,-14041.021309808377,-6791.5703,-6792.847,0.0,0.0,0.0,-13584.418,0.0,0.0,0.30514526
315,-0.042387918,335.38733,297.20737,-0.042387918,335.39215,0.0,0.0,294.5318,262.55,336.4679,-8.515169e-05,334.70428,334.91962,-2.3543373e-20,3.7751576e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,18900.0,-14041.021309808377,-6797.15,-6798.0083,0.0,0.0,0.0,-13595.158,0.0,0.0,0.27178955
330,-0.042387918,335.41638,297.20737,-0.042387918,335.41968,0.0,0.0,294.49863,262.55,336.4679,-8.515169e-05,334.72147,334.9234,-3.3412977e-21,-1.4336925e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,19800.0,-14041.021309808377,-6802.3223,-6802.909,0.0,0.0,0.0,-13605.231,0.0,0.0,0.23861694
345,-0.042387918,335.44318,297.20737,-0.042387918,335.4454,0.0,0.0,294.47403,262.55,336.4679,-8.515169e-05,334.73874,334.9273,5.0675506e-26,2.1743977e-25,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,20700.0,-14041.021309808377,-6807.0923,-6807.4893,0.0,0.0,0.0,-13614.582,0.0,0.0,0.21401978
360,-0.042387918,335.46738,297.20737,-0.042387918,335.46887,0.0,0.0,294.44403,262.55,336.4679,-8.515169e-05,334.75604,334.93134,3.2816736e-29,1.4081089e-28,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,21600.0,-14041.021309808377,-6811.401,-6811.667,0.0,0.0,0.0,-13623.068,0.0,0.0,0.184021
375,-0.042388942,335.48843,297.20737,-0.042388942,335.48944,0.0,0.0,294.42233,262.55,336.4679,-8.515375e-05,334.7733,334.9354,2.2499372e-24,1.1942293e-24,0.0,0.0,0.0,0.0,343.15,343.15,-66.30069,22500.0,-14041.360842837936,-6815.3145,-6815.4937,0.0,0.0,0.0,-13630.809,0.0,0.0,0.162323
390,-0.04271544,335.50592,297.20737,-0.04271544,335.50662,0.0,0.0,294.39456,262.55,336.4679,-8.580965e-05,334.79037,334.9395,-2.2512619e-22,7.7710475e-24,0.0,0.0,0.0,0.0,343.15,343.15,-66.55039,23400.0,-14149.514710267575,-6870.947,-6871.0728,0.0,0.0,0.0,-13742.02,0.0,0.0,0.134552
405,-0.042387918,335.51895,297.20786,-0.042387918,335.5194,0.0,0.0,294.3684,262.55,336.46683,-8.5151696e-05,334.8072,334.94363,9.108763e-20,-3.3405686e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,24300.0,-14040.46588440977,-6820.4956,-6820.577,0.0,0.0,0.0,-13641.072,0.0,0.0,0.10839844
420,-0.042387918,335.52682,297.22272,-0.042387918,335.52713,0.0,0.0,294.3379,262.55,336.43445,-8.5151696e-05,334.82355,334.94772,-7.925445e-19,1.3508516e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,25200.0,-14023.570673611373,-6819.2515,-6819.306,0.0,0.0,0.0,-13638.558,0.0,0.0,0.07788086
435,-0.04238792,335.5288,297.40036,-0.04238792,335.52902,0.0,0.0,294.3124,262.60736,336.06335,-8.51517e-05,334.83932,334.9517,-4.6151974e-19,8.5262645e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30319,26100.0,-13827.32328575682,-6787.9795,-6788.0176,0.0,0.0,0.0,-13575.997,0.0,0.0,0.05239868
