,Boiler power consumed,Pumps power consumed,Total plant energy consumed,scenario_name,%age reduction in plant energy consumption
0,645562554.513,4650.638738296939,645567212.85052,case_study_scenario_1_15min,0.0
1,626781799.29,5226.0030955,626787025.481974,case_study_scenario_5_15min,2.9090986956449614
