,Boiler power consumed,Pumps power consumed,Total plant energy consumed,scenario_name,%age reduction in plant energy consumption
0,1942650542.6799998,12528.368156573666,1942663093.2483654,case_study_scenario_1_15mins_Jan_2_5_coefficien,0.0
1,1854596572.2589998,15185.283514540628,1854611762.0271506,case_study_scenario_5_15mins_Jan_2_5_coefficien,4.532506512695539
