Date/Time,LIVING ZONE:Zone Combined Outdoor Air Sensible Heat Loss Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Combined Outdoor Air Current Density Volume Flow Rate [m3/s](TimeStep:REPORTSCH),LIVING ZONE:Zone Combined Outdoor Air Mass [kg](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep) 
 07/21  09:40:00,0.0,0.04201280949342763,9.539428735824607,0.0,1389975.5047347904,26.598465068373372,0.0,0.0,29.461360981287946,0.0,0.0,42.744235147925956,2164436.0786043126,0.0,0.0,0.30843540211072185,0.0,1.0000000000000004 
 07/21  09:50:00,0.0,0.041949979545380274,9.529789401669124,0.0,1480492.588608325,26.598594561013897,0.0,0.0,29.955885874268333,0.0,0.0,43.75454037618941,2225277.604273285,0.0,0.0,0.3216551323315952,0.0,1.0000000000000009 
 07/21  10:00:00,0.0,0.04188936017567062,9.520169602757678,0.0,1563888.1416366405,26.598712488712586,0.0,0.0,30.32878380896393,0.0,0.0,44.48703407129696,2259087.3244736097,0.0,0.0,0.3316433451165834,0.0,1.0000000000000009 
 07/21  10:10:00,0.0,0.04183575701616748,9.511697620192367,0.0,1639351.987068815,26.598781257069923,0.0,0.0,30.666246767585427,0.0,0.0,45.17173693157974,2286049.595954218,0.0,0.0,0.34015982241956544,0.0,1.0 
 07/21  10:20:00,0.0,0.0417840339273139,9.50324065781546,0.0,1708256.3839791715,26.598862672249403,0.0,0.0,30.994865147892497,0.0,0.0,45.819366233902244,2308803.6310866517,0.0,0.0,0.34769346900208964,0.0,0.9999999999999996 
 07/21  10:30:00,0.0,0.041734060556235006,9.494798714677959,0.0,1771265.754585099,26.59894240719885,0.0,0.0,31.316669880043968,0.0,0.0,46.42590430430426,2328683.2931250473,0.0,0.0,0.35445014303960537,0.0,0.9999999999999996 
 07/21  10:40:00,0.0,0.027837707301281288,9.486371739107849,0.0,1829755.8193434388,26.59845709707128,0.0,0.0,31.50484266843426,0.0,0.0,46.80009753812851,2376130.1762343645,0.0,0.0,0.3637913188202135,0.0,1.0 
 07/21  10:50:00,0.0,0.027804770271524715,9.477959691192947,0.0,1883409.436540307,26.59859380693796,0.0,0.0,31.919881340263196,0.0,0.0,47.51248010082478,2409352.0345143825,0.0,0.0,0.3713404520330938,0.0,1.0 
 07/21  11:00:00,0.0,0.02777304598537301,9.469562639404957,0.0,1934113.9942054334,26.598792856572743,0.0,0.0,32.243313811740705,0.0,0.0,48.01587754032232,2422532.6882423153,0.0,0.0,0.3765258533641763,0.0,1.0 
 07/21  11:10:00,0.0,0.027750438091315718,9.463972724896639,0.0,1980359.9662300225,26.598858963343407,0.0,0.0,32.52225326627898,0.0,0.0,48.46909099374054,2436013.5366521752,0.0,0.0,0.381151005010718,0.0,1.0 
