minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
86400,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,274.25,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,5184000.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
86415,-0.042388476,293.15,293.13858,-0.042388476,293.15,0.0,0.0,293.14526,274.30295,293.14972,-8.515282e-05,293.15,293.15,-1.1976106e-18,3.0249095e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30406,5184900.0,-3.98374230536902,-2.031977,-2.031977,0.0,0.0,0.0,-4.063954,0.0,0.0,-1.1147461
86430,11.955209,307.82025,293.26575,11.955058,293.35992,6.5638723,6.298165,293.15067,274.3257,304.501,0.024016274,308.1864,293.37125,0.99901366,0.6582201,1.0,0.0,1623272.0,0.0,343.15,343.15,-4286.635,5185800.0,1133282.154566848,730808.94,4728.7563,1623272.0,0.0,12.862038,735537.7,1623272.0,1623284.9,-1.1093445
86445,11.793257,296.15027,295.4962,12.312418,347.95477,6.5189695,6.252112,293.21338,274.3106,320.8766,0.024212549,296.1514,348.06882,0.014531104,1.0,0.0,0.89271873,0.0,897606.4,343.15,343.15,-4212.068,5186700.0,2581001.661832772,32397.842,2712746.8,0.0,897606.4,12.771082,2745144.5,897606.4,897619.1,-1.0466309
86460,11.498999,317.47934,299.41763,11.498999,356.4773,6.1631393,5.915166,293.38882,274.25,331.1648,0.02309996,317.68356,356.75024,0.99917054,1.0,1.0,1.0,1623272.0,1005475.0,343.15,343.15,-4201.104,5187600.0,3080104.4118830645,872304.44,2755741.5,1623272.0,1005475.0,12.078305,3628046.0,2628747.0,2628759.0,-0.8711853
86475,10.104848,327.1716,301.90613,10.104848,333.99817,5.3050017,5.098815,293.66037,274.05557,333.84448,0.020299297,327.242,333.77484,0.99917054,1.0,1.0,0.22442923,1623272.0,225657.98,343.15,343.15,-4182.593,5188500.0,2722969.779494542,1072275.8,1361997.8,1623272.0,225657.98,10.403816,2434273.5,1848930.0,1848940.4,-0.5996399
86490,8.248607,333.22906,302.74072,8.248608,347.51212,4.2155004,4.056521,293.9442,273.72577,338.16196,0.016570356,333.3262,347.59015,0.99917054,1.0,1.0,0.48737374,1623272.0,490042.1,343.15,343.15,-4159.5986,5189400.0,2465158.2917238786,1056242.6,1551067.0,1623272.0,490042.1,8.272021,2607309.5,2113314.0,2113322.2,-0.3157959
86505,7.480677,338.72705,301.46817,7.480677,341.88287,3.7768834,3.6355689,294.21054,273.38312,340.79926,0.015027687,338.89206,341.8837,0.99917054,1.0,1.0,0.31313813,1623272.0,314852.56,343.15,343.15,-4145.424,5190300.0,2482431.9912214377,1170631.0,1269783.2,1623272.0,314852.56,7.412452,2440414.2,1938124.5,1938131.9,-0.049468994
86520,7.328449,346.42853,299.88766,7.328449,344.41068,3.69707,3.5590336,294.42892,273.15,344.08643,0.01472188,346.54214,344.42035,0.99917054,1.0,0.84455144,0.21356346,1370936.8,214732.72,340.928,340.928,-4149.6436,5191200.0,2732893.143551621,1432503.8,1370395.2,1370936.8,214732.72,7.2561035,2802899.0,1585669.5,1585676.8,0.1689148
86535,7.1963625,342.9214,298.3293,7.1963625,339.03903,3.6298058,3.4945555,294.59595,273.1242,341.93295,0.014456536,342.89304,339.00568,0.99917054,1.0,0.33750406,0.045089178,547860.9,45336.043,337.595,337.595,-4155.572,5192100.0,2647501.687050112,1347783.0,1230439.9,547860.9,45336.043,7.124361,2578223.0,593196.94,593204.06,0.3359375
86550,-0.026798286,336.58463,297.3493,-0.026689425,336.496,-8.8274325e-28,-8.817445e-28,294.69458,273.21875,338.43484,-5.3724852e-05,336.42374,336.40738,-3.985413e-05,-3.997667e-05,0.0,0.0,0.0,0.0,336.484,336.484,-41.73569,5193000.0,-9270.72139107532,-4416.0454,-4388.1724,0.0,0.0,-1.7644877e-27,-8804.218,0.0,-1.7644877e-27,0.4345703
86565,-0.042387918,336.6979,297.3493,-0.042387918,336.63806,0.0,0.0,294.7315,273.2789,338.43484,-8.515169e-05,336.435,336.41092,-1.2542872e-16,-1.2592703e-16,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,5193900.0,-14693.713370423866,-7005.202,-6994.548,0.0,0.0,0.0,-13999.75,0.0,0.0,0.47149658
86580,-0.042387918,336.78424,297.3493,-0.042387918,336.7439,0.0,0.0,294.74753,273.15,338.43484,-8.515169e-05,336.44672,336.41467,1.3334689e-18,1.363276e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,5194800.0,-14693.713370423866,-7020.5723,-7013.3896,0.0,0.0,0.0,-14033.962,0.0,0.0,0.4875183
86595,-0.042387918,336.85248,297.3493,-0.042387918,336.8253,0.0,0.0,294.7439,272.875,338.43484,-8.515169e-05,336.45883,336.4186,-1.8325012e-19,4.8241783e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,5195700.0,-14693.713370423866,-7032.72,-7027.8794,0.0,0.0,0.0,-14060.6,0.0,0.0,0.48388672
86610,-0.042387918,336.90833,297.3493,-0.042387918,336.88992,0.0,0.0,294.7399,272.6,338.43484,-8.515169e-05,336.4714,336.42273,1.1137591e-35,-2.932043e-35,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,5196600.0,-14693.713370423866,-7042.663,-7039.3867,0.0,0.0,0.0,-14082.05,0.0,0.0,0.47988892
86625,-0.042387918,336.95627,297.3493,-0.042387918,336.94382,0.0,0.0,294.7254,272.325,338.43484,-8.515169e-05,336.4844,336.427,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,5197500.0,-14693.713370423866,-7051.198,-7048.9814,0.0,0.0,0.0,-14100.18,0.0,0.0,0.46539307
86640,-0.042387918,336.99915,297.3493,-0.042387918,336.99072,0.0,0.0,294.70636,272.05,338.43484,-8.515169e-05,336.4978,336.43152,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,5198400.0,-14693.713370423866,-7058.8315,-7057.332,0.0,0.0,0.0,-14116.164,0.0,0.0,0.4463501
86655,-0.042387918,337.0387,297.3493,-0.042387918,337.03296,0.0,0.0,294.6488,271.775,338.43484,-8.515169e-05,336.51166,336.4362,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,5199300.0,-14693.713370423866,-7065.8726,-7064.8516,0.0,0.0,0.0,-14130.725,0.0,0.0,0.38879395
86670,-0.042387918,337.07602,297.3493,-0.042387918,337.07214,0.0,0.0,294.5966,271.5,338.43484,-8.515169e-05,336.5259,336.44107,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,5200200.0,-14693.713370423866,-7072.5176,-7071.827,0.0,0.0,0.0,-14144.345,0.0,0.0,0.33657837
