minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
195,-0.06336911,343.9619,298.30692,-0.06336911,343.96786,0.0,0.0,294.67596,235.35,345.17508,-0.00012730013,343.44244,343.49142,3.460934e-29,3.6183465e-31,0.0,0.0,0.0,0.0,343.15,343.15,-66.30318,0.0,11700.0,-25058.557265236916,-12151.09,-12152.674,0.0,0.0,0.0,-24303.764,0.0,0.0,0.4159546
210,-0.06336911,344.00638,298.30692,-0.06336911,344.01038,0.0,0.0,294.63187,235.35,345.17508,-0.00012730013,343.44977,343.4973,-1.0305544e-33,-1.0774268e-35,0.0,0.0,0.0,0.0,343.15,343.15,-66.30318,0.0,12600.0,-25058.557265236916,-12162.925,-12163.988,0.0,0.0,0.0,-24326.914,0.0,0.0,0.3718567
225,-0.06336911,344.04596,298.30692,-0.06336911,344.04868,0.0,0.0,294.5883,235.35,345.17508,-0.00012730013,343.45734,343.50345,-8.57961e-38,-8.96984e-40,0.0,0.0,0.0,0.0,343.15,343.15,-66.30318,0.0,13500.0,-25058.557265236916,-12173.459,-12174.182,0.0,0.0,0.0,-24347.64,0.0,0.0,0.3282776
240,-0.06336911,344.0823,298.30692,-0.06336911,344.08414,0.0,0.0,294.54672,235.35,345.17508,-0.00012730013,343.46515,343.50983,1.02e-42,1.1e-44,0.0,0.0,0.0,0.0,343.15,343.15,-66.30318,0.0,14400.0,-25058.557265236916,-12183.133,-12183.62,0.0,0.0,0.0,-24366.754,0.0,0.0,0.28671265
255,-0.06336911,344.11642,298.30692,-0.06336911,344.11768,0.0,0.0,294.4996,235.35,345.17508,-0.00012730013,343.47324,343.5164,1e-45,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30318,0.0,15300.0,-25058.557265236916,-12192.213,-12192.546,0.0,0.0,0.0,-24384.758,0.0,0.0,0.2395935
270,-0.06336911,344.14886,298.30692,-0.06336911,344.1497,0.0,0.0,294.45474,235.35,345.17508,-0.00012730013,343.48154,343.5232,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30318,0.0,16200.0,-25058.557265236916,-12200.847,-12201.066,0.0,0.0,0.0,-24401.914,0.0,0.0,0.19473267
285,-0.06336911,344.1798,298.32947,-0.06336911,344.18036,0.0,0.0,294.40222,235.35,345.1449,-0.00012730013,343.49005,343.5302,6.5818225e-20,1.1429233e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,17100.0,-25030.362276544336,-12203.081,-12203.227,0.0,0.0,0.0,-24406.309,0.0,0.0,0.14221191
300,-0.06336912,344.20935,299.63437,-0.06336912,344.20972,0.0,0.0,294.3491,235.35,343.48322,-0.00012730014,343.49878,343.5374,-1.7609514e-20,6.1808893e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.3032,0.0,18000.0,-23444.24999364323,-11863.645,-11863.742,0.0,0.0,0.0,-23727.387,0.0,0.0,0.08908081
315,-0.063369155,344.2374,305.34253,-0.063369155,344.23764,0.0,0.0,294.29196,235.28465,336.17932,-0.00012730021,343.5077,343.5448,-4.726356e-19,5.2360843e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30323,0.0,18900.0,-16487.226744622774,-10351.887,-10351.951,0.0,0.0,0.0,-20703.838,0.0,0.0,0.031951904
330,-0.06336919,344.26358,314.56293,-0.06336919,344.26376,0.0,0.0,294.24133,235.1341,324.07434,-0.00012730029,343.51672,343.5523,-1.2843644e-19,-1.4666685e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303276,0.0,19800.0,-5085.383782133413,-7904.8467,-7904.8955,0.0,0.0,0.0,-15809.742,0.0,0.0,-0.018676758
