,Boiler power consumed,Pumps power consumed,Total plant energy consumed,scenario_name,%age reduction in plant energy consumption
0,1030873001.8699999,7366.709902462628,1030880378.7826222,case_study_scenario_1_15mins_Mar,0.0
1,927516521.1114999,9380.308275402853,927525904.0683422,case_study_scenario_5_15mins_Mar,10.025845562831687
