minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
86400,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,5184000.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
86415,-0.042388476,293.15,293.15,-0.042388476,293.15,0.0,0.0,293.14526,293.1497,-8.515282e-05,293.15,293.15,-3.3443875e-20,6.789534e-21,0.0,0.0,0.0,0.0,343.15,343.15,-66.30406,1.0,5184900.0,0.10914362480463069,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1147461
86430,11.912533,319.6358,293.35144,11.912381,293.72028,6.537697,6.2734675,293.15756,314.64975,0.023930544,320.08603,293.74762,0.998988,0.65669286,1.0,0.0,3246544.0,0.0,343.15,343.15,-4287.0684,1.0,5185800.0,2140656.5425231634,1315076.0,18453.574,3246544.0,0.0,12.811165,1333529.6,3246544.0,3246556.8,-1.1024475
86445,11.461639,302.68365,296.7589,11.981522,338.5702,6.307903,6.052465,293.26425,321.2815,0.023547098,302.5336,338.7127,0.014303602,1.0,0.0,1.0,0.0,700785.6,343.15,343.15,-4207.3228,1.0,5186700.0,2425229.79843161,285210.56,2104043.5,0.0,700785.6,12.360368,2389254.0,700785.6,700798.0,-0.99575806
86460,10.985772,327.15918,300.22217,10.985772,349.0291,5.8424535,5.6106887,293.45828,331.29227,0.022068955,327.66788,349.1293,0.9996589,1.0,1.0,1.0,3246544.0,700785.6,343.15,343.15,-4193.698,1.0,5187600.0,2879875.379186387,1242880.2,2251964.2,3246544.0,700785.6,11.453142,3494844.5,3947329.5,3947341.0,-0.8017273
86475,9.476811,347.13647,301.69376,9.476811,334.9061,4.9297776,4.7404447,293.7308,342.69235,0.019037655,347.13782,334.8769,0.9996589,1.0,0.8265766,0.53058666,2683517.2,371827.5,343.15,343.15,-4174.5537,1.0,5188500.0,3278171.880210334,1808738.8,1321937.9,2683517.2,371827.5,9.670222,3130676.5,3055344.8,3055354.5,-0.5292053
86490,7.252589,344.97266,302.39243,7.252589,346.99875,3.6554053,3.5190296,294.0424,345.2272,0.014569488,344.97247,347.03058,0.9996589,1.0,0.5795562,0.56172955,1881554.8,393651.97,343.15,343.15,-4149.425,1.0,5189400.0,2621139.346438724,1297031.1,1358747.6,1881554.8,393651.97,7.1744347,2655778.8,2275206.8,2275214.0,-0.21762085
86505,7.9245496,346.3422,301.14294,7.9245496,345.88574,4.0493846,3.8975854,294.3207,346.20398,0.015919367,346.2815,345.8337,0.9996589,1.0,0.44400913,0.3870443,1441495.1,271235.06,342.039,342.039,-4175.651,1.0,5190300.0,3012841.2273052162,1504371.5,1489179.4,1441495.1,271235.06,7.94697,2993551.0,1712730.2,1712738.2,0.060699463
86520,7.3920517,341.12927,299.284,7.3920517,340.97293,3.7434485,3.603795,294.52188,342.3963,0.01484965,341.07214,340.91385,0.9996589,1.0,0.18172324,0.14617692,589972.44,102438.68,338.706,338.706,-4163.1772,1.0,5191200.0,2688851.0215994758,1299154.2,1294300.4,589972.44,102438.68,7.3472433,2593454.5,692411.1,692418.5,0.26187134
86535,8.423404,336.32776,297.68396,8.423404,336.3075,4.304516,4.1416144,294.65,337.73257,0.016921498,336.22366,336.2175,0.9996589,1.0,0.0,0.0,0.0,0.0,336.484,336.484,-4150.3037,0.0,5192100.0,2846266.690882885,1367151.8,1366434.9,0.0,0.0,8.446131,2733586.5,0.0,8.446131,0.38998413
86550,-0.042387914,335.81113,297.58762,-0.042387914,335.85193,0.0,0.0,294.70825,337.28445,-8.515169e-05,335.61472,335.68152,-2.0125477e-12,-2.015072e-12,0.0,0.0,0.0,0.0,343.15,343.15,-66.30318,0.0,5193000.0,-14197.06188354537,-6804.9023,-6812.1665,0.0,0.0,0.0,-13617.068,0.0,0.0,0.4482422
86565,-0.042387918,335.90674,297.58762,-0.042387918,335.9343,0.0,0.0,294.7281,337.28445,-8.515169e-05,335.62018,335.68564,4.5326298e-17,3.1552672e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,5193900.0,-14197.06188354537,-6821.925,-6826.8306,0.0,0.0,0.0,-13648.756,0.0,0.0,0.4680786
86580,-0.042387918,335.97925,297.58762,-0.042387918,335.99783,0.0,0.0,294.73544,337.28445,-8.515169e-05,335.6259,335.68994,6.534104e-22,-1.4023439e-21,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,5194800.0,-14197.06188354537,-6834.8335,-6838.142,0.0,0.0,0.0,-13672.976,0.0,0.0,0.47543335
86595,-0.042387918,336.03598,297.58762,-0.042387918,336.04858,0.0,0.0,294.72632,337.28445,-8.515169e-05,335.6318,335.69446,-3.2372088e-34,2.159327e-34,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,5195700.0,-14197.06188354537,-6844.9336,-6847.1772,0.0,0.0,0.0,-13692.111,0.0,0.0,0.4663086
86610,-0.042387918,336.08264,297.58762,-0.042387918,336.0912,0.0,0.0,294.72003,337.28445,-8.515169e-05,335.6379,335.6992,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,5196600.0,-14197.06188354537,-6853.2407,-6854.7617,0.0,0.0,0.0,-13708.002,0.0,0.0,0.46002197
86625,-0.042387918,336.12256,297.58762,-0.042387918,336.12833,0.0,0.0,294.70422,337.28445,-8.515169e-05,335.64426,335.70413,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,5197500.0,-14197.06188354537,-6860.347,-6861.374,0.0,0.0,0.0,-13721.721,0.0,0.0,0.44421387
86640,-0.042387918,336.15793,297.58762,-0.042387918,336.16187,0.0,0.0,294.6844,337.28445,-8.515169e-05,335.65082,335.70926,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,5198400.0,-14197.06188354537,-6866.644,-6867.3447,0.0,0.0,0.0,-13733.988,0.0,0.0,0.42437744
