minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
0,-0.12588125,293.15,293.15,-0.12588125,293.15,0.0,0.0,293.15,272.55,293.15,-0.00025287873,293.15,293.15,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-0.0061546694,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.1100159
15,-0.04238848,293.15,293.1248,-0.04238848,293.15,0.0,0.0,293.1131,272.55,293.14862,-8.515283e-05,293.15,293.15,-6.4414984e-20,1.0991137e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30407,1.0,900.0,-8.524118553943083,-4.4877353,-4.4877353,0.0,0.0,0.0,-8.975471,0.0,0.0,-1.1469116
30,12.818562,319.45718,293.27997,12.818398,293.58167,7.550801,7.2436304,293.08377,272.55,315.06607,0.025750622,319.83246,293.615,0.99901116,0.6561942,1.0,0.0,3246544.0,0.0,343.15,343.15,-4575.3174,1.0,1800.0,2356223.891235004,1409327.8,16242.532,3246544.0,0.0,14.794432,1425570.2,3246544.0,3246558.8,-1.176239
45,12.149841,301.60007,296.95795,12.686178,336.60715,6.7570047,6.476823,293.16412,272.55,319.732,0.02494613,301.47467,336.72498,0.014516361,1.0,0.0,1.0,0.0,700785.6,343.15,343.15,-4219.266,1.0,2700.0,2386122.382676149,236884.3,2112586.8,0.0,700785.6,13.233828,2349471.0,700785.6,700798.9,-1.0958862
60,12.007994,326.17044,300.61377,12.007994,345.89362,6.4916143,6.2263064,293.32483,272.55,330.31796,0.024122465,326.60498,345.9593,0.9991574,1.0,1.0,1.0,3246544.0,700785.6,343.15,343.15,-4212.369,1.0,3600.0,3009461.1569955987,1288914.2,2283624.5,3246544.0,700785.6,12.71792,3572538.8,3947329.5,3947342.2,-0.93518066
75,10.819037,345.37057,302.41522,10.819037,340.07486,5.7541776,5.5271554,293.58334,272.55,345.28116,0.021734009,345.42072,339.8276,0.9991574,1.0,0.9424538,0.5173077,3059717.8,362521.78,343.15,343.15,-4202.987,1.0,4500.0,3912924.2303102612,1951889.4,1711252.2,3059717.8,362521.78,11.281333,3663141.5,3422239.5,3422250.8,-0.67666626
90,8.771575,345.2375,303.9088,8.771575,345.88486,4.531218,4.3594003,293.90833,272.55,344.75427,0.017620929,345.22922,345.9496,0.9991574,1.0,0.6879406,0.6737018,2233429.2,472120.53,343.15,343.15,-4180.228,1.0,5400.0,3022886.6463887244,1522573.8,1546423.2,2233429.2,472120.53,8.890618,3068997.0,2705549.8,2705558.8,-0.35168457
105,7.473941,342.74124,302.84958,7.473941,342.55316,3.8082922,3.666451,294.20996,272.55,344.58237,0.015014154,342.7636,342.54483,0.9991574,1.0,0.5449453,0.47307506,1769188.9,331524.2,343.14996,343.14996,-4186.1123,1.0,6300.0,2631646.51350678,1252221.2,1246317.4,1769188.9,331524.2,7.474743,2498538.5,2100713.0,2100720.5,-0.050048828
120,7.2271714,344.74402,300.88235,7.2271714,344.80695,3.6637151,3.527467,294.43878,272.55,344.89008,0.014518427,344.74387,344.81064,0.9991574,1.0,0.40152612,0.35869104,1303572.2,251365.52,343.14993,343.14993,-4176.0605,1.0,7200.0,2683476.0631612083,1331382.1,1333292.2,1303572.2,251365.52,7.191182,2664674.5,1554937.8,1554945.0,0.17877197
135,7.19056,344.5836,298.9596,7.1905603,344.42575,3.6189113,3.4839356,294.6002,272.47186,344.80743,0.01444488,344.5678,344.40814,0.9991574,1.0,0.2293925,0.1928207,744732.8,135125.97,343.1499,343.1499,-4146.252,1.0,8100.0,2781519.4946532757,1377860.6,1373094.0,744732.8,135125.97,7.102847,2750954.5,879858.75,879865.9,0.34017944
