minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
2893,-6.834615e-22,293.15,293.1482,-7.9133735e-22,293.15,2.0996586e-36,-2.0132255e-36,291.46857,273.15,293.15,1.4747988e-21,293.15,293.15,-1.479987e-09,-1.479987e-09,0.0,0.0,0.0,0.0,343.15,343.15,-1.9693593e-10,173609.5,1.1152805961934307e-17,5.1685108481206445e-18,5.984295495610015e-18,0.0,0.0,8.6433165e-38,1.115280634373066e-17,0.0,8.6433165e-38,-2.7914429
2894,1.0118533e-22,293.15,293.1482,-1.8543658e-26,293.15,1.0867016e-38,-1.0883637e-38,291.35147,273.15,293.15,-1.0116679e-22,293.15,293.15,-2.2511195e-09,-2.2511195e-09,0.0,0.0,0.0,0.0,343.15,343.15,0.0,173669.5,-7.650491619851121e-19,-7.651893766954485e-19,1.4023188464739623e-22,0.0,0.0,-1.6621e-41,-7.650491448108011e-19,0.0,-1.6621e-41,-2.9085388
2895,2.5594387e-23,293.15,293.1482,-1.459073e-26,293.15,8.1689e-41,-8.1752e-41,291.23694,273.15,293.15,-2.5579796e-23,293.15,293.15,0.1660241,-2.824969e-11,0.0,0.0,0.0,0.0,343.15,343.15,0.0,173728.67,-1.934409636554225e-19,-1.9355130280120117e-19,1.1033883118816896e-22,0.0,0.0,-6.3e-44,-1.93440963970013e-19,0.0,-6.3e-44,-3.0230713
2896,1.8137422e-23,293.15,293.1482,-1.4325084e-26,293.15,8.7e-43,-8.72e-43,291.12018,273.15,293.15,-1.8123096e-23,293.15,293.15,0.8164452,-3.724777e-11,0.0,0.0,0.0,0.0,343.15,343.15,0.0,173789.5,-1.3705149176520775e-19,-1.371598264801375e-19,1.0832994946624646e-22,0.0,0.0,-1e-45,-1.3705149653067124e-19,0.0,-1e-45,-3.1398315
2897,-4.893448e-07,293.15628,293.1482,-1.273803e-11,293.15,1.3676096e-06,-1.3767708e-34,291.0061,273.15,293.15,4.8935755e-07,293.96613,293.15,0.99098593,-3.8328025e-11,0.44444445,0.0,8538.798,0.0,343.15,343.15,-3.230881,173849.45,0.003700646973234245,0.01662111747714745,9.632824388474232e-08,8538.798,0.0,1.3676096e-06,0.016621213805391336,8538.798,8538.798,-3.2539062
2898,-8.7237844e-05,298.5302,293.11856,-8.6973895e-09,293.15002,0.47574237,-7.89884e-33,290.89435,273.15,293.15018,8.7246546e-05,300.42007,293.15,0.99969804,-3.8368638e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-11309.367,173908.69,11.585301870908893,1982.8234429076551,0.001149335812557651,19212.295,0.0,0.47574237,1982.8245922434678,19212.295,19212.771,-3.3656616
2899,-0.00020042663,304.1846,292.95172,-2.017096e-08,293.15118,2.8949559,-4.5209595e-34,290.7809,273.15,293.36395,0.00020044681,304.29233,293.15,0.99999183,-3.8369898e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-44946.766,173969.3,347.04801102236615,9455.746392494202,0.016898103561997085,19212.295,0.0,2.8949559,9455.763290597764,19212.295,19215.19,-3.4790955
2900,-0.00018849557,306.07553,292.77634,-1.8970095e-08,293.15366,2.4313111,-5.005905e-36,290.66943,273.15,296.73843,0.00018851455,306.17493,293.15,0.99999857,-3.8369925e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-40235.426,174029.4,3137.0343951868663,10528.724761790541,0.03006269104982931,19212.295,0.0,2.4313111,10528.754824481592,19212.295,19214.727,-3.5905762
2901,-0.00021315897,307.30594,292.71072,-2.1452205e-08,293.1568,3.62011,-5.980826e-38,290.55948,273.15,301.46735,0.00021318042,307.32602,293.15005,0.9999986,-3.8369936e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-52849.066,174089.5,7840.309822350644,13066.624151751683,0.040191068092164904,19212.295,0.0,3.62011,13066.664342819775,19212.295,19215.914,-3.700531
2902,-0.0002384573,306.9673,292.67426,-2.3998217e-08,293.16068,5.0748515,-7.42932e-40,290.45248,273.15,304.49374,0.0002384813,306.9294,293.1501,0.9999986,-3.8369943e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-66306.8,174149.5,11838.653246832642,14314.764728762164,0.04902746039665362,19212.295,0.0,5.0748515,14314.81375622256,19212.295,19217.37,-3.8075256
