minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
2880,-0.00011382557,293.15,293.14993,-0.00011382557,293.15,0.69187534,0.6360749,293.0882,273.15,293.15,0.00022765114,293.15,293.15,1.0,1.0,0.0,0.0,0.0,0.0,343.15,343.15,-16718.707,172828.22,0.05835783536412009,0.029178917682060046,0.029178917682060046,0.0,0.0,1.3279502,0.05835783536412009,0.0,1.3279502,-1.171814
2881,-8.6824286e-05,293.15,293.14896,-8.6824286e-05,293.15,0.33176595,0.31643322,292.95557,273.15,293.15,0.00017364857,293.15,293.15,1.0,1.0,0.0,0.0,0.0,0.0,343.15,343.15,-9785.247,172889.08,0.7567448752965333,0.37837243764826667,0.37837243764826667,0.0,0.0,0.6481992,0.7567448752965333,0.0,0.6481992,-1.3044434
2882,-8.178129e-06,293.15,293.14825,-8.178129e-06,293.15,0.005455497,0.0054503125,292.8247,273.15,293.15,1.6356258e-05,293.15,293.15,1.0,1.0,0.0,0.0,0.0,0.0,343.15,343.15,-129.1549,172949.62,0.11949732043881056,0.05974866021940528,0.05974866021940528,0.0,0.0,0.01090581,0.11949732043881056,0.0,0.01090581,-1.4353027
2883,-6.0679696e-07,293.15,293.1482,-6.0679696e-07,293.15,1.7031198e-05,1.7013846e-05,292.69693,273.15,293.15,1.2135939e-06,293.15,293.15,0.8328729,0.8328729,0.0,0.0,0.0,0.0,343.15,343.15,-1.006354,173009.25,0.009177507722529787,0.004588753861264894,0.004588753861264894,0.0,0.0,3.4045042e-05,0.009177507722529787,0.0,3.4045042e-05,-1.5630798
2884,-4.5033246e-08,293.15,293.1482,-4.5033246e-08,293.15,2.820978e-08,2.8177709e-08,292.56885,273.15,293.15,9.006649e-08,293.15,293.15,0.18355216,0.18355216,0.0,0.0,0.0,0.0,343.15,343.15,-0.09518832,173069.5,0.000681105863896414,0.000340552931948207,0.000340552931948207,0.0,0.0,5.638749e-08,0.000681105863896414,0.0,5.638749e-08,-1.6911621
2885,-2.6119933e-09,293.15,293.1482,-2.6119933e-09,293.15,3.4094744e-11,3.4055998e-11,292.4433,273.15,293.15,5.2239866e-09,293.15,293.15,0.009202046,0.009202046,0.0,0.0,0.0,0.0,343.15,343.15,-0.13275881,173129.06,3.950512309858559e-05,1.9752561549292794e-05,1.9752561549292794e-05,0.0,0.0,6.815074e-11,3.950512309858559e-05,0.0,6.815074e-11,-1.8167114
2886,-7.8276665e-12,293.15,293.1482,-7.8276665e-12,293.15,2.2418544e-15,2.2393067e-15,292.31683,273.15,293.15,1.5655333e-11,293.15,293.15,0.00028742713,0.00028742713,0.0,0.0,0.0,0.0,343.15,343.15,-0.045654017,173189.56,1.1838963320150107e-07,5.919481660075054e-08,5.919481660075054e-08,0.0,0.0,4.481161e-15,1.1838963320150107e-07,0.0,4.481161e-15,-1.9431763
2887,-1.5008817e-14,293.15,293.1482,-1.5008817e-14,293.15,4.5173522e-20,4.5122143e-20,292.19266,273.15,293.15,3.0017635e-14,293.15,293.15,8.094742e-06,8.094742e-06,0.0,0.0,0.0,0.0,343.15,343.15,-0.0028584038,173249.5,2.2700103389096245e-10,1.1350051694548123e-10,1.1350051694548123e-10,0.0,0.0,9.029567e-20,2.2700103389096245e-10,0.0,9.029567e-20,-2.0673523
2888,-6.700261e-16,293.15,293.1482,-6.700261e-16,293.15,2.5369574e-23,2.5341125e-23,292.06937,273.15,293.15,1.3400522e-15,293.15,293.15,1.5562756e-07,1.5562756e-07,0.0,0.0,0.0,0.0,343.15,343.15,-0.00016415997,173309.5,1.0133817449867625e-11,5.0669087249338126e-12,5.0669087249338126e-12,0.0,0.0,5.07107e-23,1.0133817449867625e-11,0.0,5.07107e-23,-2.1906433
2889,-3.302344e-17,293.15,293.1482,-3.30234e-17,293.15,1.7295594e-26,1.7284868e-26,291.94714,273.15,293.15,6.604684e-17,293.15,293.15,-5.5304215e-09,-5.5304215e-09,0.0,0.0,0.0,0.0,343.15,343.15,-9.006916e-06,173369.5,4.994630891468105e-13,2.4973169470183967e-13,2.4973139444497084e-13,0.0,0.0,3.4580464e-26,4.994630891468105e-13,0.0,3.4580464e-26,-2.3128662
