,Boiler power consumed,Pumps power consumed,Total plant energy consumed,scenario_name,%age reduction in plant energy consumption
0,1689940342,12265.17228,1689952629,case_study_scenario_1_15mins_Jan,0
1,1627100106,13390.70151,1627113497,case_study_scenario_5_15mins_Jan,3.718396016
,,,62839131.21,,
