DATETIME,Environment:Outdoor Dry Bulb [C], TOTAL POWER[KW],DR Event,Power prediction
 02/05  03:00:00,9,56.31858,0,56.31858
 02/05  03:15:00,8.925,56.31858,0,56.31858
 02/05  03:30:00,8.85,56.31858,0,56.31858
 02/05  03:45:00,8.775,56.31858,0,56.31858
 02/05  04:00:00,8.7,56.31858,0,56.31858
 02/05  04:15:00,8.6,56.31858,0,56.31858
 02/05  04:30:00,8.5,56.31858,0,56.31858
 02/05  04:45:00,8.4,56.31858,0,56.31858
 02/05  05:00:00,8.3,56.31858,0,56.31858
 02/05  05:15:00,8.275,56.31858,0,56.31858
 02/05  05:30:00,8.25,56.31858,0,56.31858
 02/05  05:45:00,8.225,56.31858,0,56.31858
 02/05  06:00:00,8.2,56.31858,0,110.96663
 02/05  06:15:00,8.1,110.96663,0,110.96522
 02/05  06:30:00,8,110.96522,0,110.96522
 02/05  06:45:00,7.9,110.96522,0,110.96522
 02/05  07:00:00,7.8,110.96522,0,144.75636
 02/05  07:15:00,8.1,144.75636,0,144.75636
 02/05  07:30:00,8.4,144.75636,0,144.84581
 02/05  07:45:00,8.7,144.84581,0,144.88785
 02/05  08:00:00,9,144.88785,0,183.44486
 02/05  08:15:00,9.35,183.44486,0,183.49748
 02/05  08:30:00,9.7,183.49748,0,183.53052
 02/05  08:45:00,10.05,183.53052,0,183.55916
 02/05  09:00:00,10.4,183.55916,0,198.86764
 02/05  09:15:00,10.725,198.86764,0,198.96204
 02/05  09:30:00,11.05,198.96204,0,199.12952
 02/05  09:45:00,11.375,199.12952,0,199.35363
 02/05  10:00:00,11.7,199.35363,0,209.86414
 02/05  10:15:00,12,209.86414,0,210.10167
 02/05  10:30:00,12.3,210.10167,0,210.29791
 02/05  10:45:00,12.6,210.29791,0,210.47817
 02/05  11:00:00,12.9,210.47817,0,211.72176
 02/05  11:15:00,13.25,211.72176,0,211.91238
 02/05  11:30:00,13.6,211.91238,0,212.08357
 02/05  11:45:00,13.95,212.08357,0,212.2593
 02/05  12:00:00,14.3,212.2593,0,215.30914
 02/05  12:15:00,14.6,215.30914,0,214.92399
 02/05  12:30:00,14.9,214.92399,0,214.97096
 02/05  12:45:00,15.2,214.97096,0,215.05839
 02/05  13:00:00,15.5,215.05839,0,215.39223
 02/05  13:15:00,15.325,215.39223,0,215.45495
 02/05  13:30:00,15.15,215.45495,0,216.05555
 02/05  13:45:00,14.975,216.05555,0,216.29714
 02/05  14:00:00,14.8,216.29714,0,210.22763
 02/05  14:15:00,14.675,210.22763,0,210.36561
 02/05  14:30:00,14.55,210.36561,0,210.46071
 02/05  14:45:00,14.425,210.46071,0,210.52225
 02/05  15:00:00,14.3,210.52225,0,198.37082
 02/05  15:15:00,14.125,198.37082,0,198.37248
 02/05  15:30:00,13.95,198.37248,0,198.3481
 02/05  15:45:00,13.775,198.3481,0,198.30735
 02/05  16:00:00,13.6,198.30735,0,159.25949
 02/05  16:15:00,13.6,159.25949,0,159.11982
 02/05  16:30:00,13.6,159.11982,0,159.02457
 02/05  16:45:00,13.6,159.02457,0,158.93075
 02/05  17:00:00,13.6,158.93075,0,119.90164
 02/05  17:15:00,13.6,119.90164,0,119.67793
 02/05  17:30:00,13.6,119.67793,0,119.54342
 02/05  17:45:00,13.6,119.54342,0,119.44034
 02/05  18:00:00,13.6,119.44034,0,67.58229
 02/05  18:15:00,13.6,67.58229,0,67.58229
 02/05  18:30:00,13.6,67.58229,0,67.58229
 02/05  18:45:00,13.6,67.58229,0,67.58229
 02/05  19:00:00,13.6,67.58229,0,56.31858
 02/05  19:15:00,13.275,56.31858,0,56.31858
 02/05  19:30:00,12.95,56.31858,0,56.31858
 02/05  19:45:00,12.625,56.31858,0,56.31858
 02/05  20:00:00,12.3,56.31858,0,56.31858
 02/05  20:15:00,11.975,56.31858,0,56.31858
 02/05  20:30:00,11.65,56.31858,0,56.31858
 02/05  20:45:00,11.325,56.31858,0,56.31858
 02/05  21:00:00,11,56.31858,0,56.31858
 02/05  21:15:00,10.675,56.31858,0,56.31858
 02/05  21:30:00,10.35,56.31858,0,56.31858
 02/05  21:45:00,10.025,56.31858,0,56.31858
 02/05  22:00:00,9.7,56.31858,0,56.31858
 02/05  22:15:00,9.575,56.31858,0,56.31858
 02/05  22:30:00,9.45,56.31858,0,56.31858
 02/05  22:45:00,9.325,56.31858,0,56.31858
 02/05  23:00:00,9.2,56.31858,0,56.31858
 02/05  23:15:00,9.175,56.31858,0,56.31858
 02/05  23:30:00,9.15,56.31858,0,56.31858
 02/05  23:45:00,9.125,56.31858,0,56.31858
 02/05  24:00:00,9.1,56.31858,0,56.31858
 02/06  00:15:00,9.125,56.31858,0,56.31858
 02/06  00:30:00,9.15,56.31858,0,56.31858
 02/06  00:45:00,9.175,56.31858,0,56.31858
 02/06  01:00:00,9.2,56.31858,0,56.31858
 02/06  01:15:00,9.2,56.31858,0,56.31858
 02/06  01:30:00,9.2,56.31858,0,56.31858
 02/06  01:45:00,9.2,56.31858,0,56.31858
 02/06  02:00:00,9.2,56.31858,0,56.31858
 02/06  02:15:00,9.1,56.31858,0,56.31858
 02/06  02:30:00,9,56.31858,0,56.31858
 02/06  02:45:00,8.9,56.31858,0,56.31858
 02/06  03:00:00,8.8,56.31858,0,56.31858
 02/06  03:15:00,8.725,56.31858,0,56.31858
 02/06  03:30:00,8.65,56.31858,0,56.31858
 02/06  03:45:00,8.575,56.31858,0,56.31858
 02/06  04:00:00,8.5,56.31858,0,56.31858
 02/06  04:15:00,8.575,56.31858,0,56.31858
 02/06  04:30:00,8.65,56.31858,0,56.31858
 02/06  04:45:00,8.725,56.31858,0,56.31858
 02/06  05:00:00,8.8,56.31858,0,56.31858
 02/06  05:15:00,8.9,56.31858,0,56.31858
 02/06  05:30:00,9,56.31858,0,56.31858
 02/06  05:45:00,9.1,56.31858,0,56.31858
 02/06  06:00:00,9.2,56.31858,0,111.14571
 02/06  06:15:00,9.275,111.14571,0,110.96522
 02/06  06:30:00,9.35,110.96522,0,110.96522
 02/06  06:45:00,9.425,110.96522,0,110.96522
 02/06  07:00:00,9.5,110.96522,0,144.84585
 02/06  07:15:00,9.775,144.84585,0,144.99268
 02/06  07:30:00,10.05,144.99268,0,145.02348
 02/06  07:45:00,10.325,145.02348,0,145.04783
 02/06  08:00:00,10.6,145.04783,0,183.6097
 02/06  08:15:00,10.8,183.6097,0,183.65228
 02/06  08:30:00,11,183.65228,0,183.67649
 02/06  08:45:00,11.2,183.67649,0,183.69704
 02/06  09:00:00,11.4,183.69704,0,199.11182
 02/06  09:15:00,11.675,199.11182,0,199.24348
 02/06  09:30:00,11.95,199.24348,0,199.34276
 02/06  09:45:00,12.225,199.34276,0,199.54184
 02/06  10:00:00,12.5,199.54184,0,210.03839
 02/06  10:15:00,12.5,210.03839,0,210.25388
 02/06  10:30:00,12.5,210.25388,0,210.4494
 02/06  10:45:00,12.5,210.4494,0,210.6369
 02/06  11:00:00,12.5,210.6369,0,211.87326
 02/06  11:15:00,12.5,211.87326,0,212.05381
 02/06  11:30:00,12.5,212.05381,0,212.21013
 02/06  11:45:00,12.5,212.21013,0,212.37448
 02/06  12:00:00,12.5,212.37448,0,215.39552
 02/06  12:15:00,12.5,215.39552,0,215.01817
 02/06  12:30:00,12.5,215.01817,0,215.04773
 02/06  12:45:00,12.5,215.04773,0,215.11159
 02/06  13:00:00,12.5,215.11159,0,215.40963
 02/06  13:15:00,12.7,215.40963,0,215.46806
 02/06  13:30:00,12.9,215.46806,0,216.05698
 02/06  13:45:00,13.1,216.05698,0,216.26289
 02/06  14:00:00,13.3,216.26289,0,210.19628
 02/06  14:15:00,13.575,210.19628,0,210.31903
 02/06  14:30:00,13.85,210.31903,0,210.44856
 02/06  14:45:00,14.125,210.44856,0,210.57678
 02/06  15:00:00,14.4,210.57678,0,198.50542
 02/06  15:15:00,14.625,198.50542,0,198.56113
 02/06  15:30:00,14.85,198.56113,0,198.57038
 02/06  15:45:00,15.075,198.57038,0,198.55241
 02/06  16:00:00,15.3,198.55241,0,159.47447
 02/06  16:15:00,15.2,159.47447,0,159.31545
 02/06  16:30:00,15.1,159.31545,0,159.2124
 02/06  16:45:00,15,159.2124,0,159.11418
 02/06  17:00:00,14.9,159.11418,0,120.06448
 02/06  17:15:00,14.85,120.06448,0,119.83411
 02/06  17:30:00,14.8,119.83411,0,119.69487
 02/06  17:45:00,14.75,119.69487,0,119.57118
 02/06  18:00:00,14.7,119.57118,0,67.58229
 02/06  18:15:00,14.625,67.58229,0,67.58229
 02/06  18:30:00,14.55,67.58229,0,67.58229
 02/06  18:45:00,14.475,67.58229,0,67.58229
 02/06  19:00:00,14.4,67.58229,0,56.31858
 02/06  19:15:00,14.4,56.31858,0,56.31858
 02/06  19:30:00,14.4,56.31858,0,56.31858
 02/06  19:45:00,14.4,56.31858,0,56.31858
 02/06  20:00:00,14.4,56.31858,0,56.31858
 02/06  20:15:00,14.4,56.31858,0,56.31858
 02/06  20:30:00,14.4,56.31858,0,56.31858
 02/06  20:45:00,14.4,56.31858,0,56.31858
 02/06  21:00:00,14.4,56.31858,0,56.31858
 02/06  21:15:00,14.4,56.31858,0,56.31858
 02/06  21:30:00,14.4,56.31858,0,56.31858
 02/06  21:45:00,14.4,56.31858,0,56.31858
 02/06  22:00:00,14.4,56.31858,0,56.31858
 02/06  22:15:00,14.3,56.31858,0,56.31858
 02/06  22:30:00,14.2,56.31858,0,56.31858
 02/06  22:45:00,14.1,56.31858,0,56.31858
 02/06  23:00:00,14,56.31858,0,56.31858
 02/06  23:15:00,13.85,56.31858,0,56.31858
 02/06  23:30:00,13.7,56.31858,0,56.31858
 02/06  23:45:00,13.55,56.31858,0,56.31858
 02/06  24:00:00,13.4,56.31858,0,56.31858
 02/07  00:15:00,13.2,56.31858,0,56.31858
 02/07  00:30:00,13,56.31858,0,56.31858
 02/07  00:45:00,12.8,56.31858,0,56.31858
 02/07  01:00:00,12.6,56.31858,0,56.31858
 02/07  01:15:00,12.45,56.31858,0,56.31858
 02/07  01:30:00,12.3,56.31858,0,56.31858
 02/07  01:45:00,12.15,56.31858,0,56.31858
 02/07  02:00:00,12,56.31858,0,56.31858
 02/07  02:15:00,11.925,56.31858,0,56.31858
 02/07  02:30:00,11.85,56.31858,0,56.31858
 02/07  02:45:00,11.775,56.31858,0,56.31858
 02/07  03:00:00,11.7,56.31858,0,56.31858
 02/07  03:15:00,11.6,56.31858,0,56.31858
 02/07  03:30:00,11.5,56.31858,0,56.31858
 02/07  03:45:00,11.4,56.31858,0,56.31858
 02/07  04:00:00,11.3,56.31858,0,56.31858
 02/07  04:15:00,11.3,56.31858,0,56.31858
 02/07  04:30:00,11.3,56.31858,0,56.31858
 02/07  04:45:00,11.3,56.31858,0,56.31858
 02/07  05:00:00,11.3,56.31858,0,56.31858
 02/07  05:15:00,11.3,56.31858,0,56.31858
 02/07  05:30:00,11.3,56.31858,0,56.31858
 02/07  05:45:00,11.3,56.31858,0,56.31858
 02/07  06:00:00,11.3,56.31858,0,111.65522
 02/07  06:15:00,11.3,111.65522,0,110.96522
 02/07  06:30:00,11.3,110.96522,0,110.74801
 02/07  06:45:00,11.3,110.74801,0,110.59365
 02/07  07:00:00,11.3,110.59365,0,145.00964
 02/07  07:15:00,11.4,145.00964,0,145.07752
 02/07  07:30:00,11.5,145.07752,0,145.10298
 02/07  07:45:00,11.6,145.10298,0,145.11903
 02/07  08:00:00,11.7,145.11903,0,183.92875
 02/07  08:15:00,11.775,183.92875,0,184.04658
 02/07  08:30:00,11.85,184.04658,0,184.11453
 02/07  08:45:00,11.925,184.11453,0,184.17908
 02/07  09:00:00,12,184.17908,0,199.68367
 02/07  09:15:00,12.1,199.68367,0,199.77692
 02/07  09:30:00,12.2,199.77692,0,199.85719
 02/07  09:45:00,12.3,199.85719,0,200.03605
 02/07  10:00:00,12.4,200.03605,0,210.57942
 02/07  10:15:00,12.625,210.57942,0,210.83395
 02/07  10:30:00,12.85,210.83395,0,211.06698
 02/07  10:45:00,13.075,211.06698,0,211.29982
 02/07  11:00:00,13.3,211.29982,0,212.65474
 02/07  11:15:00,13.55,212.65474,0,212.95491
 02/07  11:30:00,13.8,212.95491,0,213.23684
 02/07  11:45:00,14.05,213.23684,0,213.54908
 02/07  12:00:00,14.3,213.54908,0,216.77752
 02/07  12:15:00,14.525,216.77752,0,217.11526
 02/07  12:30:00,14.75,217.11526,0,217.39006
 02/07  12:45:00,14.975,217.39006,0,217.63217
 02/07  13:00:00,15.2,217.63217,0,218.13535
 02/07  13:15:00,15.2,218.13535,0,218.32222
 02/07  13:30:00,15.2,218.32222,0,218.45432
 02/07  13:45:00,15.2,218.45432,0,218.54375
 02/07  14:00:00,15.2,218.54375,0,212.35372
 02/07  14:15:00,15.2,212.35372,0,212.33896
 02/07  14:30:00,15.2,212.33896,0,212.30156
 02/07  14:45:00,15.2,212.30156,0,212.23943
 02/07  15:00:00,15.2,212.23943,0,199.93586
 02/07  15:15:00,15.2,199.93586,0,198.92534
 02/07  15:30:00,15.2,198.92534,0,198.71239
 02/07  15:45:00,15.2,198.71239,0,198.57402
 02/07  16:00:00,15.2,198.57402,0,159.6706
 02/07  16:15:00,15.275,159.6706,0,159.45141
 02/07  16:30:00,15.35,159.45141,0,159.59913
 02/07  16:45:00,15.425,159.59913,0,159.49254
 02/07  17:00:00,15.5,159.49254,0,120.3814
 02/07  17:15:00,15.6,120.3814,0,120.1169
 02/07  17:30:00,15.7,120.1169,0,119.83756
 02/07  17:45:00,15.8,119.83756,0,119.62126
 02/07  18:00:00,15.9,119.62126,0,67.58229
 02/07  18:15:00,15.975,67.58229,0,67.58229
 02/07  18:30:00,16.05,67.58229,0,67.58229
 02/07  18:45:00,16.125,67.58229,0,67.58229
 02/07  19:00:00,16.2,67.58229,0,56.31858
 02/07  19:15:00,15.95,56.31858,0,56.31858
 02/07  19:30:00,15.7,56.31858,0,56.31858
 02/07  19:45:00,15.45,56.31858,0,56.31858
 02/07  20:00:00,15.2,56.31858,0,56.31858
 02/07  20:15:00,14.975,56.31858,0,56.31858
 02/07  20:30:00,14.75,56.31858,0,56.31858
 02/07  20:45:00,14.525,56.31858,0,56.31858
 02/07  21:00:00,14.3,56.31858,0,56.31858
 02/07  21:15:00,14.05,56.31858,0,56.31858
 02/07  21:30:00,13.8,56.31858,0,56.31858
 02/07  21:45:00,13.55,56.31858,0,56.31858
 02/07  22:00:00,13.3,56.31858,0,56.31858
 02/07  22:15:00,13.175,56.31858,0,56.31858
 02/07  22:30:00,13.05,56.31858,0,56.31858
 02/07  22:45:00,12.925,56.31858,0,56.31858
 02/07  23:00:00,12.8,56.31858,0,56.31858
 02/07  23:15:00,12.825,56.31858,0,56.31858
 02/07  23:30:00,12.85,56.31858,0,56.31858
 02/07  23:45:00,12.875,56.31858,0,56.31858
 02/07  24:00:00,12.9,56.31858,0,56.31858
 02/08  00:15:00,12.95,56.31858,0,56.31858
 02/08  00:30:00,13,56.31858,0,56.31858
 02/08  00:45:00,13.05,56.31858,0,56.31858
 02/08  01:00:00,13.1,56.31858,0,56.31858
 02/08  01:15:00,13.1,56.31858,0,56.31858
 02/08  01:30:00,13.1,56.31858,0,56.31858
 02/08  01:45:00,13.1,56.31858,0,56.31858
 02/08  02:00:00,13.1,56.31858,0,56.31858
 02/08  02:15:00,13.025,56.31858,0,56.31858
 02/08  02:30:00,12.95,56.31858,0,56.31858
 02/08  02:45:00,12.875,56.31858,0,56.31858
 02/08  03:00:00,12.8,56.31858,0,56.31858
 02/08  03:15:00,12.7,56.31858,0,56.31858
 02/08  03:30:00,12.6,56.31858,0,56.31858
 02/08  03:45:00,12.5,56.31858,0,56.31858
 02/08  04:00:00,12.4,56.31858,0,56.31858
 02/08  04:15:00,12.4,56.31858,0,56.31858
 02/08  04:30:00,12.4,56.31858,0,56.31858
 02/08  04:45:00,12.4,56.31858,0,56.31858
 02/08  05:00:00,12.4,56.31858,0,56.31858
 02/08  05:15:00,12.4,56.31858,0,56.31858
 02/08  05:30:00,12.4,56.31858,0,56.31858
 02/08  05:45:00,12.4,56.31858,0,56.31858
 02/08  06:00:00,12.4,56.31858,0,112.15461
 02/08  06:15:00,12.4,112.15461,0,111.0177
 02/08  06:30:00,12.4,111.0177,0,110.95889
 02/08  06:45:00,12.4,110.95889,0,110.80965
 02/08  07:00:00,12.4,110.80965,0,145.23018
 02/08  07:15:00,12.675,145.23018,0,145.3605
 02/08  07:30:00,12.95,145.3605,0,145.40262
 02/08  07:45:00,13.225,145.40262,0,145.43515
 02/08  08:00:00,13.5,145.43515,0,184.29161
 02/08  08:15:00,13.725,184.29161,0,184.39712
 02/08  08:30:00,13.95,184.39712,0,184.46891
 02/08  08:45:00,14.175,184.46891,0,184.57724
 02/08  09:00:00,14.4,184.57724,0,200.33027
 02/08  09:15:00,14.675,200.33027,0,200.56695
 02/08  09:30:00,14.95,200.56695,0,200.77915
 02/08  09:45:00,15.225,200.77915,0,200.9979
 02/08  10:00:00,15.5,200.9979,0,211.60684
 02/08  10:15:00,15.675,211.60684,0,211.93876
 02/08  10:30:00,15.85,211.93876,0,212.25455
 02/08  10:45:00,16.025,212.25455,0,212.67706
 02/08  11:00:00,16.2,212.67706,0,214.1393
 02/08  11:15:00,16.325,214.1393,0,214.54247
 02/08  11:30:00,16.45,214.54247,0,215.06865
 02/08  11:45:00,16.575,215.06865,0,218.70874
 02/08  12:00:00,16.7,218.70874,0,224.59581
 02/08  12:15:00,16.875,224.59581,0,227.63732
 02/08  12:30:00,17.05,227.63732,0,230.61098
 02/08  12:45:00,17.225,230.61098,0,233.54691
 02/08  13:00:00,17.4,233.54691,0,234.85551
 02/08  13:15:00,17.4,234.85551,0,235.65061
 02/08  13:30:00,17.4,235.65061,0,236.19725
 02/08  13:45:00,17.4,236.19725,0,236.6332
 02/08  14:00:00,17.4,236.6332,0,230.63168
 02/08  14:15:00,17.4,230.63168,0,230.80716
 02/08  14:30:00,17.4,230.80716,0,230.87283
 02/08  14:45:00,17.4,230.87283,0,230.82959
 02/08  15:00:00,17.4,230.82959,0,218.09475
 02/08  15:15:00,17.4,218.09475,0,217.73748
 02/08  15:30:00,17.4,217.73748,0,217.44977
 02/08  15:45:00,17.4,217.44977,0,217.10633
 02/08  16:00:00,17.4,217.10633,0,173.37104
 02/08  16:15:00,17.15,173.37104,0,168.81309
 02/08  16:30:00,16.9,168.81309,0,164.46563
 02/08  16:45:00,16.65,164.46563,0,161.34663
 02/08  17:00:00,16.4,161.34663,0,121.58875
 02/08  17:15:00,16.175,121.58875,0,121.17847
 02/08  17:30:00,15.95,121.17847,0,120.90307
 02/08  17:45:00,15.725,120.90307,0,120.72082
 02/08  18:00:00,15.5,120.72082,0,67.58229
 02/08  18:15:00,15.225,67.58229,0,67.58229
 02/08  18:30:00,14.95,67.58229,0,67.58229
 02/08  18:45:00,14.675,67.58229,0,67.58229
 02/08  19:00:00,14.4,67.58229,0,56.31858
 02/08  19:15:00,14.225,56.31858,0,56.31858
 02/08  19:30:00,14.05,56.31858,0,56.31858
 02/08  19:45:00,13.875,56.31858,0,56.31858
 02/08  20:00:00,13.7,56.31858,0,56.31858
 02/08  20:15:00,13.55,56.31858,0,56.31858
 02/08  20:30:00,13.4,56.31858,0,56.31858
 02/08  20:45:00,13.25,56.31858,0,56.31858
 02/08  21:00:00,13.1,56.31858,0,56.31858
 02/08  21:15:00,12.925,56.31858,0,56.31858
 02/08  21:30:00,12.75,56.31858,0,56.31858
 02/08  21:45:00,12.575,56.31858,0,56.31858
 02/08  22:00:00,12.4,56.31858,0,56.31858
 02/08  22:15:00,12.325,56.31858,0,56.31858
 02/08  22:30:00,12.25,56.31858,0,56.31858
 02/08  22:45:00,12.175,56.31858,0,56.31858
 02/08  23:00:00,12.1,56.31858,0,56.31858
 02/08  23:15:00,12.125,56.31858,0,56.31858
 02/08  23:30:00,12.15,56.31858,0,56.31858
 02/08  23:45:00,12.175,56.31858,0,56.31858
 02/08  24:00:00,12.2,56.31858,0,56.31858
 02/09  00:15:00,12.225,56.31858,0,56.31858
 02/09  00:30:00,12.25,56.31858,0,56.31858
 02/09  00:45:00,12.275,56.31858,0,56.31858
 02/09  01:00:00,12.3,56.31858,0,56.31858
 02/09  01:15:00,12.3,56.31858,0,56.31858
 02/09  01:30:00,12.3,56.31858,0,56.31858
 02/09  01:45:00,12.3,56.31858,0,56.31858
 02/09  02:00:00,12.3,56.31858,0,56.31858
 02/09  02:15:00,12.225,56.31858,0,56.31858
 02/09  02:30:00,12.15,56.31858,0,56.31858
 02/09  02:45:00,12.075,56.31858,0,56.31858
 02/09  03:00:00,12,56.31858,0,56.31858
 02/09  03:15:00,11.9,56.31858,0,56.31858
 02/09  03:30:00,11.8,56.31858,0,56.31858
 02/09  03:45:00,11.7,56.31858,0,56.31858
 02/09  04:00:00,11.6,56.31858,0,56.31858
 02/09  04:15:00,11.6,56.31858,0,56.31858
 02/09  04:30:00,11.6,56.31858,0,56.31858
 02/09  04:45:00,11.6,56.31858,0,56.31858
 02/09  05:00:00,11.6,56.31858,0,56.31858
 02/09  05:15:00,11.6,56.31858,0,56.31858
 02/09  05:30:00,11.6,56.31858,0,56.31858
 02/09  05:45:00,11.6,56.31858,0,56.31858
 02/09  06:00:00,11.6,56.31858,0,112.23632
 02/09  06:15:00,11.6,112.23632,0,111.01942
 02/09  06:30:00,11.6,111.01942,0,110.99052
 02/09  06:45:00,11.6,110.99052,0,110.84709
 02/09  07:00:00,11.6,110.84709,0,145.3493
 02/09  07:15:00,11.7,145.3493,0,145.45455
 02/09  07:30:00,11.8,145.45455,0,145.51161
 02/09  07:45:00,11.9,145.51161,0,145.54793
 02/09  08:00:00,12,145.54793,0,184.42946
 02/09  08:15:00,12.075,184.42946,0,184.63208
 02/09  08:30:00,12.15,184.63208,0,184.83324
 02/09  08:45:00,12.225,184.83324,0,185.10079
 02/09  09:00:00,12.3,185.10079,0,201.05546
 02/09  09:15:00,12.375,201.05546,0,201.5447
 02/09  09:30:00,12.45,201.5447,0,202.04061
 02/09  09:45:00,12.525,202.04061,0,202.54979
 02/09  10:00:00,12.6,202.54979,0,213.58723
 02/09  10:15:00,12.825,213.58723,0,214.19798
 02/09  10:30:00,13.05,214.19798,0,214.90641
 02/09  10:45:00,13.275,214.90641,0,215.53661
 02/09  11:00:00,13.5,215.53661,0,217.49695
 02/09  11:15:00,13.775,217.49695,0,218.96948
 02/09  11:30:00,14.05,218.96948,0,220.89893
 02/09  11:45:00,14.325,220.89893,0,223.95904
 02/09  12:00:00,14.6,223.95904,0,229.58473
 02/09  12:15:00,14.8,229.58473,0,233.13182
 02/09  12:30:00,15,233.13182,0,235.27437
 02/09  12:45:00,15.2,235.27437,0,236.62831
 02/09  13:00:00,15.4,236.62831,0,239.09048
 02/09  13:15:00,15.325,239.09048,0,239.83264
 02/09  13:30:00,15.25,239.83264,0,238.48077
 02/09  13:45:00,15.175,238.48077,0,237.15925
 02/09  14:00:00,15.1,237.15925,0,228.35347
 02/09  14:15:00,15.05,228.35347,0,226.28162
 02/09  14:30:00,15,226.28162,0,223.89039
 02/09  14:45:00,14.95,223.89039,0,221.80152
 02/09  15:00:00,14.9,221.80152,0,207.07374
 02/09  15:15:00,14.825,207.07374,0,202.3847
 02/09  15:30:00,14.75,202.3847,0,200.95222
 02/09  15:45:00,14.675,200.95222,0,200.25211
 02/09  16:00:00,14.6,200.25211,0,160.65067
 02/09  16:15:00,14.325,160.65067,0,160.28946
 02/09  16:30:00,14.05,160.28946,0,160.62346
 02/09  16:45:00,13.775,160.62346,0,160.44446
 02/09  17:00:00,13.5,160.44446,0,121.14142
 02/09  17:15:00,13.275,121.14142,0,120.8012
 02/09  17:30:00,13.05,120.8012,0,120.61613
 02/09  17:45:00,12.825,120.61613,0,120.50212
 02/09  18:00:00,12.6,120.50212,0,67.58229
 02/09  18:15:00,12.35,67.58229,0,67.58229
 02/09  18:30:00,12.1,67.58229,0,67.58229
 02/09  18:45:00,11.85,67.58229,0,67.58229
 02/09  19:00:00,11.6,67.58229,0,56.31858
 02/09  19:15:00,11.6,56.31858,0,56.31858
 02/09  19:30:00,11.6,56.31858,0,56.31858
 02/09  19:45:00,11.6,56.31858,0,56.31858
 02/09  20:00:00,11.6,56.31858,0,56.31858
 02/09  20:15:00,11.6,56.31858,0,56.31858
 02/09  20:30:00,11.6,56.31858,0,56.31858
 02/09  20:45:00,11.6,56.31858,0,56.31858
 02/09  21:00:00,11.6,56.31858,0,56.31858
 02/09  21:15:00,11.6,56.31858,0,56.31858
 02/09  21:30:00,11.6,56.31858,0,56.31858
 02/09  21:45:00,11.6,56.31858,0,56.31858
 02/09  22:00:00,11.6,56.31858,0,56.31858
 02/09  22:15:00,11.725,56.31858,0,56.31858
 02/09  22:30:00,11.85,56.31858,0,56.31858
 02/09  22:45:00,11.975,56.31858,0,56.31858
 02/09  23:00:00,12.1,56.31858,0,56.31858
 02/09  23:15:00,12.275,56.31858,0,56.31858
 02/09  23:30:00,12.45,56.31858,0,56.31858
 02/09  23:45:00,12.625,56.31858,0,56.31858
 02/09  24:00:00,12.8,56.31858,0,45.05486
 02/10  00:15:00,12.975,45.05486,0,45.05486
 02/10  00:30:00,13.15,45.05486,0,45.05486
 02/10  00:45:00,13.325,45.05486,0,45.05486
 02/10  01:00:00,13.5,45.05486,0,45.05486
 02/10  01:15:00,13.575,45.05486,0,45.05486
 02/10  01:30:00,13.65,45.05486,0,45.05486
 02/10  01:45:00,13.725,45.05486,0,45.05486
 02/10  02:00:00,13.8,45.05486,0,45.05486
 02/10  02:15:00,13.7,45.05486,0,45.05486
 02/10  02:30:00,13.6,45.05486,0,45.05486
 02/10  02:45:00,13.5,45.05486,0,45.05486
 02/10  03:00:00,13.4,45.05486,0,45.05486
 02/10  03:15:00,13.325,45.05486,0,45.05486
 02/10  03:30:00,13.25,45.05486,0,45.05486
 02/10  03:45:00,13.175,45.05486,0,45.05486
 02/10  04:00:00,13.1,45.05486,0,45.05486
 02/10  04:15:00,12.8,45.05486,0,45.05486
 02/10  04:30:00,12.5,45.05486,0,45.05486
 02/10  04:45:00,12.2,45.05486,0,45.05486
 02/10  05:00:00,11.9,45.05486,0,45.05486
 02/10  05:15:00,11.55,45.05486,0,45.05486
 02/10  05:30:00,11.2,45.05486,0,45.05486
 02/10  05:45:00,10.85,45.05486,0,45.05486
 02/10  06:00:00,10.5,45.05486,0,45.05486
 02/10  06:15:00,10.2,45.05486,0,45.05486
 02/10  06:30:00,9.9,45.05486,0,45.05486
 02/10  06:45:00,9.6,45.05486,0,45.05486
 02/10  07:00:00,9.3,45.05486,0,45.05486
 02/10  07:15:00,9.45,45.05486,0,45.05486
 02/10  07:30:00,9.6,45.05486,0,45.05486
 02/10  07:45:00,9.75,45.05486,0,45.05486
 02/10  08:00:00,9.9,45.05486,0,45.05486
 02/10  08:15:00,10.05,45.05486,0,45.05486
 02/10  08:30:00,10.2,45.05486,0,45.05486
 02/10  08:45:00,10.35,45.05486,0,45.05486
 02/10  09:00:00,10.5,45.05486,0,45.05486
 02/10  09:15:00,10.675,45.05486,0,45.05486
 02/10  09:30:00,10.85,45.05486,0,45.05486
 02/10  09:45:00,11.025,45.05486,0,45.05486
 02/10  10:00:00,11.2,45.05486,0,45.05486
 02/10  10:15:00,11.5,45.05486,0,45.05486
 02/10  10:30:00,11.8,45.05486,0,45.05486
 02/10  10:45:00,12.1,45.05486,0,45.05486
 02/10  11:00:00,12.4,45.05486,0,45.05486
 02/10  11:15:00,12.75,45.05486,0,45.05486
 02/10  11:30:00,13.1,45.05486,0,45.05486
 02/10  11:45:00,13.45,45.05486,0,45.05486
 02/10  12:00:00,13.8,45.05486,0,45.05486
 02/10  12:15:00,14.1,45.05486,0,45.05486
