DATETIME,Environment:Outdoor Dry Bulb [C], TOTAL POWER[KW],DR Event,Power prediction
 01/02  05:30:00,5.75,56.31858,0,56.31858
 01/02  05:45:00,5.625,56.31858,0,56.31858
 01/02  06:00:00,5.5,56.31858,0,111.17241
 01/02  06:15:00,5.3,111.17241,0,110.61404
 01/02  06:30:00,5.1,110.61404,0,110.2075
 01/02  06:45:00,4.9,110.2075,0,110.0875
 01/02  07:00:00,4.7,110.0875,0,144.627
 01/02  07:15:00,4.975,144.627,0,144.72319
 01/02  07:30:00,5.25,144.72319,0,144.71504
 01/02  07:45:00,5.525,144.71504,0,144.72449
 01/02  08:00:00,5.8,144.72449,0,183.63868
 01/02  08:15:00,6.025,183.63868,0,183.68906
 01/02  08:30:00,6.25,183.68906,0,183.72783
 01/02  08:45:00,6.475,183.72783,0,183.99873
 01/02  09:00:00,6.7,183.99873,0,199.68985
 01/02  09:15:00,6.975,199.68985,0,200.18156
 01/02  09:30:00,7.25,200.18156,0,200.60293
 01/02  09:45:00,7.525,200.60293,0,200.9542
 01/02  10:00:00,7.8,200.9542,0,211.59641
 01/02  10:15:00,7.975,211.59641,0,212.01801
 01/02  10:30:00,8.15,212.01801,0,212.34019
 01/02  10:45:00,8.325,212.34019,0,212.57368
 01/02  11:00:00,8.5,212.57368,0,214.03316
 01/02  11:15:00,8.65,214.03316,0,215.25249
 01/02  11:30:00,8.8,215.25249,0,216.80189
 01/02  11:45:00,8.95,216.80189,0,218.63104
 01/02  12:00:00,9.1,218.63104,0,223.82212
 01/02  12:15:00,9.275,223.82212,0,226.42078
 01/02  12:30:00,9.45,226.42078,0,228.96436
 01/02  12:45:00,9.625,228.96436,0,231.57503
 01/02  13:00:00,9.8,231.57503,0,235.10529
 01/02  13:15:00,9.875,235.10529,0,237.86565
 01/02  13:30:00,9.95,237.86565,0,240.12313
 01/02  13:45:00,10.025,240.12313,0,240.92072
 01/02  14:00:00,10.1,240.92072,0,234.99088
 01/02  14:15:00,10.2,234.99088,0,235.48433
 01/02  14:30:00,10.3,235.48433,0,235.24513
 01/02  14:45:00,10.4,235.24513,0,234.54188
 01/02  15:00:00,10.5,234.54188,0,219.90415
 01/02  15:15:00,10.6,219.90415,0,218.46912
 01/02  15:30:00,10.7,218.46912,0,215.62545
 01/02  15:45:00,10.8,215.62545,0,211.87864
 01/02  16:00:00,10.9,211.87864,0,168.98274
 01/02  16:15:00,10.7,168.98274,0,165.54031
 01/02  16:30:00,10.5,165.54031,0,163.64734
 01/02  16:45:00,10.3,163.64734,0,161.43436
 01/02  17:00:00,10.1,161.43436,0,121.39172
 01/02  17:15:00,9.975,121.39172,0,120.70019
 01/02  17:30:00,9.85,120.70019,0,120.28828
 01/02  17:45:00,9.725,120.28828,0,120.17021
 01/02  18:00:00,9.6,120.17021,0,67.58229
 01/02  18:15:00,9.425,67.58229,0,67.58229
 01/02  18:30:00,9.25,67.58229,0,67.58229
 01/02  18:45:00,9.075,67.58229,0,67.58229
 01/02  19:00:00,8.9,67.58229,0,56.31858
 01/02  19:15:00,8.725,56.31858,0,56.31858
 01/02  19:30:00,8.55,56.31858,0,56.31858
 01/02  19:45:00,8.375,56.31858,0,56.31858
 01/02  20:00:00,8.2,56.31858,0,56.31858
 01/02  20:15:00,8,56.31858,0,56.31858
 01/02  20:30:00,7.8,56.31858,0,56.31858
 01/02  20:45:00,7.6,56.31858,0,56.31858
 01/02  21:00:00,7.4,56.31858,0,56.31858
 01/02  21:15:00,7.225,56.31858,0,56.31858
 01/02  21:30:00,7.05,56.31858,0,56.31858
 01/02  21:45:00,6.875,56.31858,0,56.31858
 01/02  22:00:00,6.7,56.31858,0,56.31858
 01/02  22:15:00,6.75,56.31858,0,56.31858
 01/02  22:30:00,6.8,56.31858,0,56.31858
 01/02  22:45:00,6.85,56.31858,0,56.31858
 01/02  23:00:00,6.9,56.31858,0,56.31858
 01/02  23:15:00,7.125,56.31858,0,56.31858
 01/02  23:30:00,7.35,56.31858,0,56.31858
 01/02  23:45:00,7.575,56.31858,0,56.31858
 01/02  24:00:00,7.8,56.31858,0,56.31858
 01/03  00:15:00,8.1,56.31858,0,56.31858
 01/03  00:30:00,8.4,56.31858,0,56.31858
 01/03  00:45:00,8.7,56.31858,0,56.31858
 01/03  01:00:00,9,56.31858,0,56.31858
 01/03  01:15:00,9.2,56.31858,0,56.31858
 01/03  01:30:00,9.4,56.31858,0,56.31858
 01/03  01:45:00,9.6,56.31858,0,56.31858
 01/03  02:00:00,9.8,56.31858,0,56.31858
 01/03  02:15:00,9.9,56.31858,0,56.31858
 01/03  02:30:00,10,56.31858,0,56.31858
 01/03  02:45:00,10.1,56.31858,0,56.31858
 01/03  03:00:00,10.2,56.31858,0,56.31858
 01/03  03:15:00,10.3,56.31858,0,56.31858
 01/03  03:30:00,10.4,56.31858,0,56.31858
 01/03  03:45:00,10.5,56.31858,0,56.31858
 01/03  04:00:00,10.6,56.31858,0,56.31858
 01/03  04:15:00,10.6,56.31858,0,56.31858
 01/03  04:30:00,10.6,56.31858,0,56.31858
 01/03  04:45:00,10.6,56.31858,0,56.31858
 01/03  05:00:00,10.6,56.31858,0,56.31858
 01/03  05:15:00,10.6,56.31858,0,56.31858
 01/03  05:30:00,10.6,56.31858,0,56.31858
 01/03  05:45:00,10.6,56.31858,0,56.31858
 01/03  06:00:00,10.6,56.31858,0,111.30568
 01/03  06:15:00,10.6,111.30568,0,110.96522
 01/03  06:30:00,10.6,110.96522,0,110.54104
 01/03  06:45:00,10.6,110.54104,0,110.3755
 01/03  07:00:00,10.6,110.3755,0,145.0199
 01/03  07:15:00,10.675,145.0199,0,145.08444
 01/03  07:30:00,10.75,145.08444,0,145.0254
 01/03  07:45:00,10.825,145.0254,0,144.97875
